DSN\400 kV B1,DSN\400 kV B1,DSN\400 kV B1
"Phase Voltage A in kV","Phase Voltage B in kV","Phase Voltage C in kV"
308.360548,-156.134422,-152.250525
307.148704,-146.901715,-160.297467
306.722635,-138.442855,-168.351446
306.170534,-129.912228,-176.263167
305.706227,-121.368091,-184.138078
304.336346,-112.907516,-191.416491
302.983870,-104.243988,-198.575674
301.520456,-95.589209,-205.770085
299.330776,-86.549418,-212.761675
297.011333,-77.220943,-219.645114
294.300722,-67.838727,-226.417312
291.086470,-58.478163,-232.657571
287.801770,-49.240706,-238.558445
284.210708,-40.089974,-244.218764
280.233889,-30.726362,-249.627661
276.074317,-21.312969,-254.868874
271.631449,-11.942526,-259.872209
266.890174,-2.542217,-264.542546
261.941813,6.888661,-269.039427
256.703994,16.342737,-273.320291
251.196504,25.869312,-277.379727
245.450552,35.432154,-281.236643
239.439982,45.027279,-284.850981
233.181084,54.628621,-288.178609
226.705962,64.211662,-291.266873
219.965397,73.794310,-294.104466
212.977415,83.371929,-296.701175
205.789053,92.858234,-299.007966
198.424479,102.192814,-300.986737
190.892657,111.392497,-302.640212
183.196392,120.486044,-304.007395
175.326168,129.474423,-305.092306
167.303939,138.351478,-305.899606
159.136087,147.097504,-306.435627
150.824593,155.718419,-306.708449
142.367400,164.220545,-306.712446
133.768277,172.583383,-306.439125
125.037722,180.793932,-305.870300
116.173847,188.841025,-305.000846
107.180483,196.710140,-303.824882
98.066397,204.386314,-302.337777
88.842613,211.852961,-300.538901
79.526543,219.092872,-298.421005
70.130993,226.095206,-295.989942
60.663475,232.855059,-293.245081
51.134380,239.361101,-290.190913
41.551110,245.600503,-286.826177
31.923180,251.570142,-283.150180
22.254528,257.263173,-279.163900
12.553782,262.684121,-274.872372
2.824804,267.829205,-270.277382
-6.918201,272.691933,-265.390836
-16.663886,277.267863,-260.219931
-26.399639,281.549721,-254.777690
-36.107689,285.525810,-249.064221
-45.766984,289.180367,-243.084101
-55.373056,292.513626,-236.836109
-64.885618,295.503864,-230.335766
-74.317702,298.158016,-223.581363
-83.668174,300.499824,-216.596401
-92.908269,302.506938,-209.392567
-102.047549,304.190864,-201.968327
-111.077052,305.564496,-194.342459
-119.975849,306.617675,-186.526876
-128.751104,307.362647,-178.521608
-137.395604,307.806176,-170.346101
-145.900685,307.946450,-162.005082
-154.271443,307.796336,-153.506664
-162.501263,307.361995,-144.863458
-170.577158,306.641737,-136.082466
-178.496765,305.638983,-127.171985
-186.246804,304.355934,-118.146142
-193.818845,302.791251,-109.013934
-201.208183,300.949990,-99.786702
-208.405275,298.834045,-90.473524
-215.402431,296.443548,-81.083223
-222.195339,293.785580,-71.622877
-228.778940,290.864376,-62.104139
-235.149572,287.684764,-52.535299
-241.303324,284.252394,-42.927221
-247.235109,280.571157,-33.292534
-252.936383,276.645130,-23.641759
-258.400567,272.477250,-13.986589
-263.618056,268.068613,-4.336372
-268.580817,263.419531,5.301028
-273.283623,258.531476,14.916149
-277.720771,253.408815,24.501032
-281.888825,248.054646,34.045895
-285.783349,242.474192,43.542077
-289.398456,236.670293,52.980871
-292.728159,230.644935,62.353181
-295.765855,224.400381,71.651004
-298.505669,217.937529,80.865236
-300.941395,211.257926,89.989001
-303.069334,204.364650,99.014564
-304.886304,197.260732,107.936134
-306.389874,189.950333,116.748792
-307.579602,182.436037,125.448060
-308.453456,174.721281,134.030378
-309.011514,166.808838,142.491042
-309.253452,158.704091,150.824956
-309.179569,150.412477,159.027691
-308.791383,141.939912,167.093696
-308.090038,133.293628,175.019599
-307.078172,124.480277,182.800228
-305.758970,115.507999,190.431243
-304.136021,106.386622,197.906804
-302.213329,97.125663,205.220476
-299.993902,87.737427,212.364603
-297.481142,78.233383,219.330467
-294.676489,68.625814,226.108448
-291.585334,58.929377,232.689439
-288.202240,49.151983,239.059886
-284.533645,39.307256,245.213179
-280.584998,29.410767,251.138897
-276.353478,19.473992,256.824409
-271.849460,9.513283,262.263279
-267.078593,-0.455207,267.446046
-262.042772,-10.417369,272.361058
-256.751937,-20.357948,277.001555
-251.211144,-30.261484,281.358171
-245.425369,-40.115436,285.422192
-239.403764,-49.905186,289.188126
-233.153326,-59.617280,292.650108
-226.681506,-69.239781,295.802708
-219.998384,-78.759985,298.644140
-213.112225,-88.166964,301.170828
-206.031119,-97.450934,303.380995
-198.763677,-106.601914,305.273305
-191.316729,-115.611805,306.845784
-183.696022,-124.473422,308.097077
-175.907591,-133.181030,309.026669
-167.955671,-141.729679,309.633892
-159.844888,-150.116164,309.919492
-151.579999,-158.336934,309.884352
-143.165426,-166.389043,309.530321
-134.606236,-174.269741,308.858868
-125.907528,-181.975706,307.872461
-117.074625,-189.504065,306.572933
-108.113078,-196.852196,304.963000
-99.028814,-204.016931,303.045587
-89.828795,-210.995593,300.824092
-80.520426,-217.784178,298.302673
-71.113150,-224.378231,295.486005
-61.617312,-230.772379,292.379031
-52.044225,-236.960631,288.987620
-42.406308,-242.936357,285.317144
-32.715934,-248.692873,281.373758
-22.985752,-254.223257,277.162914
-13.228267,-259.520603,272.690501
-3.455757,-264.578178,267.962109
6.319526,-269.389541,262.983536
16.085485,-273.948061,257.760737
25.829975,-278.247918,252.299835
35.541275,-282.282957,246.607030
45.207569,-286.047527,240.688591
54.817944,-289.536138,234.550363
64.361938,-292.743497,228.198234
73.829585,-295.665014,221.637235
83.212199,-298.296642,214.872734
92.501352,-300.634865,207.909498
101.689125,-302.676943,200.752642
110.768119,-304.420249,193.407359
119.730579,-305.862585,185.878981
128.569013,-307.001606,178.173053
137.275822,-307.835317,170.295182
145.842607,-308.360896,162.251106
154.264005,-308.577705,154.045648
162.532213,-308.484076,145.684621
170.640106,-308.078882,137.174175
178.583342,-307.362848,128.519052
186.354630,-306.335457,119.725978
193.947527,-304.997247,110.801660
201.356730,-303.349694,101.752684
208.574996,-301.393480,92.587031
215.595716,-299.130709,83.312964
222.413074,-296.563911,73.938936
229.019988,-293.695836,64.474542
235.410200,-290.530226,54.929486
241.577738,-287.071418,45.314102
247.515702,-283.323998,35.639381
253.217648,-279.293218,25.917058
258.676906,-274.984660,16.159171
263.886053,-270.403946,6.378517
268.838090,-265.556831,-3.411987
273.525892,-260.449351,-13.199414
277.942357,-255.087311,-22.970901
282.081123,-249.476977,-32.713925
285.936398,-243.624684,-42.416450
289.502830,-237.536960,-52.066737
292.775933,-231.220539,-61.653726
295.751775,-224.682176,-71.166632
298.426758,-217.928533,-80.595393
300.797998,-210.966201,-89.930322
302.863078,-203.801617,-99.162458
304.620066,-196.441132,-108.283446
306.067919,-188.891039,-117.285552
307.206049,-181.157844,-126.161727
308.034614,-173.247885,-134.905427
308.554274,-165.167852,-143.510410
