All calculations,DSN\400 kV B1,DSN\400 kV B1,DSN\400 kV B1
"Time in s","Phase Voltage A in kV","Phase Voltage B in kV","Phase Voltage C in kV"
0.000000,309.085098,-158.422427,-150.711225
0.000100,308.335610,-148.914104,-159.485038
0.000200,307.970096,-140.490318,-167.579349
0.000300,307.536223,-131.966822,-175.597568
0.000400,307.338764,-123.367166,-183.759467
0.000500,305.985557,-114.962189,-191.017437
0.000600,304.642813,-106.417909,-198.043912
0.000700,303.174537,-97.943731,-205.042456
0.000800,301.058493,-88.948208,-212.087607
0.000900,298.874925,-79.668209,-219.044811
0.001000,296.309279,-70.345257,-225.901365
0.001100,293.145206,-61.080887,-232.105173
0.001200,289.930180,-51.977858,-237.926947
0.001300,286.418668,-42.960334,-243.540423
0.001400,282.532880,-33.679112,-248.965028
0.001500,278.477179,-24.351759,-254.216260
0.001600,274.110699,-15.071347,-259.211951
0.001700,269.417222,-5.764524,-263.839851
0.001800,264.531928,3.565597,-268.299596
0.001900,259.369488,12.932899,-272.583126
0.002000,253.961082,22.381846,-276.675101
0.002100,248.324451,31.858102,-280.563979
0.002200,242.404950,41.367888,-284.198064
0.002300,236.220842,50.899733,-287.539167
0.002400,229.822881,60.425167,-290.654018
0.002500,223.172896,69.959305,-293.545609
0.002600,216.289909,79.490449,-296.211529
0.002700,209.204807,88.936071,-298.592122
0.002800,201.928664,98.245867,-300.648554
0.002900,194.480645,107.445826,-302.396339
0.003000,186.866251,116.557191,-303.872268
0.003100,179.071562,125.578081,-305.074769
0.003200,171.109733,134.503698,-305.997171
0.003300,162.983686,143.321097,-306.652895
0.003400,154.698463,152.043971,-307.060177
0.003500,146.257678,160.684472,-307.221596
0.003600,137.663084,169.214030,-307.121570
0.003700,128.928753,177.614676,-306.739353
0.003800,120.052523,185.869147,-306.063732
0.003900,111.042260,193.957984,-305.088546
0.004000,101.907978,201.865641,-303.807793
0.004100,92.660126,209.577228,-302.221308
0.004200,83.311947,217.073731,-300.316309
0.004300,73.875633,224.345608,-298.099765
0.004400,64.356251,231.387234,-295.567824
0.004500,54.766083,238.186851,-292.726876
0.004600,45.115236,244.733359,-289.579747
0.004700,35.420069,251.023298,-286.131993
0.004800,25.688884,257.043607,-282.384690
0.004900,15.929234,262.793291,-278.336686
0.005000,6.135095,268.263378,-273.976003
0.005100,-3.687168,273.447353,-269.307090
0.005200,-13.529068,278.344224,-264.336692
0.005300,-23.374215,282.946535,-259.081893
0.005400,-33.200406,287.239759,-253.544595
0.005500,-42.984429,291.204205,-247.728843
0.005600,-52.722151,294.837131,-241.630954
0.005700,-62.369902,298.114273,-235.266990
0.005800,-71.939745,301.042187,-228.635749
0.005900,-81.428283,303.641916,-221.759895
0.006000,-90.804139,305.884836,-214.648290
0.006100,-100.077245,307.778376,-207.295434
0.006200,-109.238490,309.334688,-199.719641
0.006300,-118.266974,310.543314,-191.932118
0.006400,-127.171530,311.419690,-183.933180
0.006500,-135.942246,311.970344,-175.744838
0.006600,-144.564746,312.190285,-167.374462
0.006700,-153.040740,312.088903,-158.830887
0.006800,-161.360916,311.669197,-150.126813
0.006900,-169.514076,310.927894,-141.265253
0.007000,-177.503154,309.871884,-132.252289
0.007100,-185.319903,308.508110,-123.100685
0.007200,-192.960388,306.840236,-113.819603
0.007300,-200.423878,304.877710,-104.420754
0.007400,-207.701443,302.626669,-94.916315
0.007500,-214.784893,300.091004,-85.319090
0.007600,-221.666838,297.282128,-75.642565
0.007700,-228.339610,294.205858,-65.902326
0.007800,-234.798638,290.866987,-56.107469
0.007900,-241.041320,287.270098,-46.266524
0.008000,-247.064026,283.419748,-36.391312
0.008100,-252.859455,279.322376,-26.492318
0.008200,-258.420437,274.984596,-16.584685
0.008300,-263.736256,270.410527,-6.681006
0.008400,-268.796595,265.602843,3.206514
0.008500,-273.594226,260.564450,13.064487
0.008600,-278.121239,255.301841,22.880587
0.008700,-282.373164,249.819716,32.641996
0.008800,-286.344643,244.125330,42.337213
0.008900,-290.030594,238.222958,51.956849
0.009000,-293.427122,232.116072,61.492045
0.009100,-296.532147,225.808889,70.937183
0.009200,-299.345336,219.305372,80.285175
0.009300,-301.865209,212.610529,89.530455
0.009400,-304.089807,205.731023,98.663270
0.009500,-306.014962,198.671515,107.674874
0.009600,-307.634956,191.435192,116.557442
0.009700,-308.946865,184.021451,125.306030
0.009800,-309.947379,176.430433,133.918349
0.009900,-310.637268,168.662362,142.392206
0.010000,-311.017459,160.721673,150.724486
0.010100,-311.089415,152.612847,158.912790
0.010200,-310.854419,144.340062,166.952717
0.010300,-310.312184,135.908129,174.841818
0.010400,-309.462556,127.320629,182.574709
0.010500,-308.305264,118.582265,190.146826
0.010600,-306.840265,109.699091,197.552264
0.010700,-305.068459,100.675764,204.785938
0.010800,-302.990325,91.519310,211.842812
0.010900,-300.608328,82.235952,218.718157
0.011000,-297.924121,72.833514,225.407111
0.011100,-294.944826,63.323681,231.905512
0.011200,-291.666549,53.712383,238.203677
0.011300,-288.097446,44.012450,244.297962
0.011400,-284.243658,34.238951,250.179264
0.011500,-280.101689,24.402371,255.835459
0.011600,-275.681261,14.517902,261.260540
0.011700,-270.986983,4.600542,266.445262
0.011800,-266.019794,-5.336807,271.378479
0.011900,-260.790419,-15.279604,276.055082
0.012000,-255.305153,-25.212765,280.467857
0.012100,-249.570657,-35.123900,284.610363
0.012200,-243.597729,-44.997660,288.478679
0.012300,-237.393113,-54.819464,292.066395
0.012400,-230.962256,-64.576633,295.365946
0.012500,-224.312160,-74.256219,298.372879
0.012600,-217.447501,-83.847871,301.080903
0.012700,-210.373674,-93.342412,303.486411
0.012800,-203.098330,-102.729657,305.587169
0.012900,-195.628790,-112.000088,307.380583
0.013000,-187.972626,-121.143994,308.865068
0.013100,-180.138405,-130.152297,310.039640
