All calculations,DSN\400 kV B1,DSN\400 kV B1,DSN\400 kV B1
"Time in s","Phase Voltage A in kV","Phase Voltage B in kV","Phase Voltage C in kV"
0.000000,308.988539,-157.043836,-151.992545
0.000100,307.857549,-147.402137,-160.521016
0.000200,307.430698,-138.829237,-168.670677
0.000300,306.878582,-130.121708,-176.755293
0.000400,306.430159,-121.332379,-184.897953
0.000500,305.038296,-112.805563,-192.218962
0.000600,303.650596,-104.059204,-199.423793
0.000700,302.143975,-95.293079,-206.683067
0.000800,299.924373,-86.123171,-213.762133
0.000900,297.573868,-76.646576,-220.763433
0.001000,294.836284,-67.149276,-227.628633
0.001100,291.582577,-57.747900,-233.871932
0.001200,288.253362,-48.459087,-239.782375
0.001300,284.619128,-39.237379,-245.468625
0.001400,280.600280,-29.792714,-250.912066
0.001500,276.397692,-20.292212,-256.197882
0.001600,271.910236,-10.863070,-261.216556
0.001700,267.117063,-1.432418,-265.866709
0.001800,262.117231,8.026970,-270.343733
0.001900,256.831542,17.509921,-274.606866
0.002000,251.281430,27.056451,-278.645569
0.002100,245.495909,36.617048,-282.465485
0.002200,239.444831,46.179898,-286.011995
0.002300,233.145092,55.726966,-289.249017
0.002400,226.632160,65.250375,-292.243703
0.002500,219.859092,74.770987,-294.989090
0.002600,212.844344,84.278369,-297.492195
0.002700,205.632779,93.679447,-299.695927
0.002800,198.246750,102.915584,-301.561341
0.002900,190.696175,112.013192,-303.100584
0.003000,182.984009,121.011351,-304.361916
0.003100,175.102164,129.909310,-305.348485
0.003200,167.072022,138.696215,-306.060269
0.003300,158.899406,147.355087,-306.506292
0.003400,150.587174,155.894224,-306.698266
0.003500,142.134317,164.318703,-306.630421
0.003600,133.543459,172.604747,-306.289790
0.003700,124.824969,180.739509,-305.657564
0.003800,115.975685,188.714792,-304.730376
0.003900,106.998912,196.523391,-303.509029
0.004000,97.902643,204.152384,-301.990340
0.004100,88.697187,211.584038,-300.171958
0.004200,79.398638,218.799563,-298.043559
0.004300,70.019257,225.788844,-295.611060
0.004400,60.565982,232.547285,-292.873532
0.004500,51.049287,239.064675,-289.836852
0.004600,41.476727,245.326382,-286.498426
0.004700,31.858377,251.328881,-282.857892
0.004800,22.197975,257.064833,-278.915530
0.004900,12.504674,262.535954,-274.673857
0.005000,2.781851,267.734413,-270.130092
0.005100,-6.956454,272.652272,-265.294624
0.005200,-16.698330,277.284101,-260.174572
0.005300,-26.430873,281.623576,-254.784706
0.005400,-36.136552,285.658324,-249.124437
0.005500,-45.794957,289.371311,-243.196634
0.005600,-55.402915,292.761781,-236.997743
0.005700,-64.920806,295.808774,-230.543394
0.005800,-74.361890,298.519893,-223.832426
0.005900,-83.725007,300.918947,-216.888572
0.006000,-92.980978,302.982066,-209.722599
0.006100,-102.138864,304.719491,-202.332287
0.006200,-111.189270,306.142963,-194.735677
0.006300,-120.110504,307.240772,-186.943849
0.006400,-128.909060,308.022831,-178.955022
0.006500,-137.577500,308.494637,-170.787607
0.006600,-146.106434,308.654181,-162.446786
0.006700,-154.500408,308.514885,-153.941793
0.006800,-162.752475,308.083355,-145.285890
0.006900,-170.849409,307.357827,-136.486068
0.007000,-178.789003,306.341642,-127.550185
0.007100,-186.558125,305.037657,-118.492654
0.007200,-194.148355,303.445705,-109.323525
0.007300,-201.555053,301.572040,-100.055182
0.007400,-208.768695,299.419858,-90.697922
0.007500,-215.781580,296.990373,-81.261594
0.007600,-222.589251,294.291673,-71.754209
0.007700,-229.186523,291.328229,-62.187609
0.007800,-235.569382,288.104580,-52.569873
0.007900,-241.733778,284.625999,-42.911485
0.008000,-247.674312,280.896710,-33.225610
0.008100,-253.382098,276.921503,-23.523733
