All calculations,DSN\400 kV B1,DSN\400 kV B1,DSN\400 kV B1
"Time in s","Phase Voltage A in kV","Phase Voltage B in kV","Phase Voltage C in kV"
0.000000,303.490648,-152.231932,-150.962967
0.000100,304.061747,-144.520412,-159.700095
0.000200,303.488411,-136.557003,-167.014935
0.000300,302.989993,-129.063103,-174.041709
0.000400,302.298738,-121.098364,-181.226632
0.000500,301.168139,-112.451320,-188.673766
0.000600,299.754442,-103.165958,-196.448128
0.000700,297.980303,-93.935108,-203.919000
0.000800,295.784277,-84.889777,-210.860376
0.000900,293.081065,-75.580524,-217.578528
0.001000,290.144262,-65.824011,-224.411042
0.001100,287.096297,-55.779341,-231.351698
0.001200,283.770678,-45.811308,-237.919270
0.001300,280.101851,-35.989261,-244.055065
0.001400,276.104959,-26.216526,-249.861233
0.001500,271.888008,-16.830464,-255.091966
0.001600,267.429132,-7.815195,-259.651919
0.001700,262.708402,1.367198,-264.069468
0.001800,257.721045,11.224880,-268.888521
0.001900,252.410067,21.751641,-274.109678
0.002000,246.612214,32.715243,-279.324812
0.002100,240.345106,43.511064,-283.926550
0.002200,233.942212,53.219302,-287.282575
0.002300,227.723258,61.488205,-289.320018
0.002400,221.725861,69.013210,-290.759970
0.002500,215.652192,76.961387,-292.526180
0.002600,209.212408,85.838147,-294.913405
0.002700,202.293067,95.298355,-297.501137
0.002800,194.951725,104.822995,-299.774582
0.002900,187.293618,114.205805,-301.563287
0.003000,179.425311,123.465311,-302.953417
0.003100,171.413610,132.662714,-304.101553
0.003200,163.295690,141.762649,-305.053426
0.003300,155.069303,150.621793,-305.695238
0.003400,146.709998,159.074886,-305.819980
0.003500,138.190147,167.057452,-305.309409
0.003600,129.509710,174.624414,-304.191518
0.003700,120.747906,181.803372,-302.587123
0.003800,111.972764,188.712615,-300.689255
0.003900,103.186094,195.607070,-298.773219
0.004000,94.313456,202.730030,-297.011878
0.004100,85.267540,210.085935,-295.332798
0.004200,75.999402,217.427692,-293.432675
0.004300,66.533642,224.463778,-291.034475
0.004400,56.956661,231.037312,-288.047711
0.004500,47.366248,237.174696,-284.594750
0.004600,37.802754,243.038602,-280.881476
0.004700,28.236879,248.776947,-277.044845
0.004800,18.630409,254.395824,-273.059331
0.004900,8.972805,259.783357,-268.802032
0.005000,-0.714935,264.834901,-264.174155
0.005100,-10.400452,269.526011,-259.178530
0.005200,-20.046646,273.872928,-253.868853
0.005300,-29.611886,277.876312,-248.300690
0.005400,-39.067154,281.529679,-242.498393
0.005500,-48.400958,284.827093,-236.467681
0.005600,-57.626271,287.785001,-230.201284
0.005700,-66.771995,290.447288,-223.712345
0.005800,-75.863678,292.871639,-217.033642
0.005900,-84.915706,295.115033,-210.216876
0.006000,-93.929126,297.204612,-203.292001
0.006100,-102.899936,299.132334,-196.257454
0.006200,-111.824675,300.855601,-189.067448
0.006300,-120.689994,302.301395,-181.659336
0.006400,-129.481363,303.417524,-173.988410
0.006500,-138.180078,304.191992,-166.063261
0.006600,-146.764069,304.645442,-157.927582
0.006700,-155.204693,304.792410,-149.631098
0.006800,-163.470920,304.621524,-141.194118
0.006900,-171.537978,304.108098,-132.616808
0.007000,-179.391960,303.236425,-123.892418
0.007100,-187.033954,302.018201,-115.030391
0.007200,-194.477497,300.493729,-106.056887
0.007300,-201.745115,298.715157,-97.005922
0.007400,-208.854722,296.715039,-87.894187
0.007500,-215.805001,294.485246,-78.717291
0.007600,-222.573126,291.982056,-69.451059
0.007700,-229.119057,289.151389,-60.079250
0.007800,-235.403630,285.961687,-50.605355
0.007900,-241.402353,282.420340,-41.062153
0.008000,-247.111011,278.566984,-31.494437
0.008100,-252.539822,274.444073,-21.938661
0.008200,-257.703602,270.076501,-12.405855
