All calculations,DSN\400 kV B1,DSN\400 kV B1,DSN\400 kV B1
"Time in s","Phase Voltage A in kV","Phase Voltage B in kV","Phase Voltage C in kV"
0.000000,307.480193,-158.523418,-149.012221
0.000100,306.758863,-148.663115,-158.165592
0.000200,306.404128,-140.244764,-166.260040
0.000300,305.970829,-131.650124,-174.354651
0.000400,305.756497,-122.826961,-182.742547
0.000500,304.396065,-114.414306,-189.986701
0.000600,303.030226,-105.925037,-196.940353
0.000700,301.506755,-97.612515,-203.697684
0.000800,299.358209,-88.754946,-210.573261
0.000900,297.176510,-79.738661,-217.323315
0.001000,294.689780,-70.764947,-223.893127
0.001100,291.615428,-61.785082,-229.895848
0.001200,288.451488,-52.773651,-235.681225
0.001300,284.982426,-43.778339,-241.291828
0.001400,281.174200,-34.565773,-246.740834
0.001500,277.211212,-25.311764,-252.017017
0.001600,272.928114,-16.051153,-257.049954
0.001700,268.311392,-6.770868,-261.726619
0.001800,263.504407,2.492431,-266.204433
0.001900,258.414383,11.776509,-270.479861
0.002000,253.082385,21.141748,-274.571291
0.002100,247.527707,30.507256,-278.425784
0.002200,241.708975,39.856573,-281.990618
0.002300,235.639408,49.209076,-285.270931
0.002400,229.358199,58.569861,-288.341690
0.002500,222.840122,67.938167,-291.198504
0.002600,216.113680,77.285250,-293.835375
0.002700,209.186998,86.558499,-296.201076
0.002800,202.054830,95.743134,-298.282772
0.002900,194.730314,104.869453,-300.093822
0.003000,187.220830,113.939230,-301.643985
0.003100,179.518511,122.931927,-302.918679
0.003200,171.638769,131.828965,-303.902488
0.003300,163.588023,140.614147,-304.606942
0.003400,155.381081,149.293681,-305.055137
0.003500,147.024630,157.879262,-305.251504
0.003600,138.519672,166.344556,-305.181457
0.003700,129.879449,174.677185,-304.832967
0.003800,121.099757,182.869283,-304.200840
0.003900,112.185958,190.914833,-303.287053
0.004000,103.146920,198.801858,-302.087379
0.004100,93.990424,206.515176,-300.597296
0.004200,84.726567,214.033118,-298.799253
0.004300,75.363733,221.347232,-296.698052
0.004400,65.904464,228.450856,-294.285938
0.004500,56.361131,235.330414,-291.567453
0.004600,46.745101,241.971164,-288.544150
0.004700,37.073846,248.369874,-285.223947
0.004800,27.359061,254.512159,-281.609747
0.004900,17.612381,260.391117,-277.698248
0.005000,7.832015,265.990386,-273.472601
0.005100,-1.973691,271.301249,-268.936245
0.005200,-11.796048,276.324715,-264.098286
0.005300,-21.619875,281.058464,-258.979681
0.005400,-31.425620,285.492087,-253.585245
0.005500,-41.194631,289.610214,-247.919898
0.005600,-50.926652,293.413112,-241.980254
0.005700,-60.580979,296.877480,-235.781138
0.005800,-70.169290,300.006969,-229.318205
0.005900,-79.686399,302.816696,-222.609549
0.006000,-89.097564,305.271957,-215.660481
0.006100,-98.411521,307.376845,-208.463378
0.006200,-107.617006,309.141657,-201.037035
0.006300,-116.690808,310.552117,-193.391373
0.006400,-125.640854,311.620367,-185.525037
0.006500,-134.455696,312.350055,-177.459010
0.006600,-143.120545,312.735048,-169.200815
0.006700,-151.637482,312.784318,-160.758959
0.006800,-159.996178,312.499071,-152.145462
0.006900,-168.186875,311.874770,-143.360715
0.007000,-176.213338,310.918800,-134.409774
0.007100,-184.067784,309.637481,-125.304211
0.007200,-191.747161,308.034967,-116.052556
0.007300,-199.250265,306.119760,-106.666193
0.007400,-206.567105,303.897348,-97.158239
0.007500,-213.688801,301.371954,-87.542734
0.007600,-220.606280,298.555509,-77.835812
0.007700,-227.310393,295.453149,-68.053573
0.007800,-233.795688,292.069354,-58.205211
0.007900,-240.059057,288.408127,-48.298520
0.008000,-246.097153,284.475296,-38.345485
0.008100,-251.903606,280.279091,-28.357229
0.008200,-257.471700,275.828239,-18.350136
0.008300,-262.791720,271.128480,-8.337409
0.008400,-267.854419,266.184892,1.667494
0.008500,-272.653298,261.002110,11.650418
0.008600,-277.180999,255.588421,21.597782
0.008700,-281.432967,249.949819,31.495840
0.008800,-285.403520,244.095492,41.331141
0.008900,-289.087430,238.032271,51.092200
0.009000,-292.480747,231.766933,60.767451
0.009100,-295.581570,225.306049,70.349497
