All calculations,WOO\400 kV B1,WOO\400 kV B1,WOO\400 kV B1
"Time in s","Phase Voltage A in kV","Phase Voltage B in kV","Phase Voltage C in kV"
0.000000,308.317168,-156.062392,-152.119550
0.000100,307.969637,-147.398111,-160.402644
0.000200,307.484700,-139.174989,-168.377416
0.000300,307.031713,-130.712443,-176.239949
0.000400,306.863192,-122.425066,-184.294466
0.000500,305.500455,-113.716704,-191.833638
0.000600,304.097672,-104.790813,-199.183639
0.000700,302.421975,-95.885427,-206.430850
0.000800,300.123971,-86.863512,-213.305122
0.000900,297.885210,-77.881191,-219.923559
0.001000,295.372031,-69.025346,-226.369213
0.001100,292.256850,-59.852969,-232.495436
0.001200,288.992142,-50.564234,-238.459811
0.001300,285.402834,-41.309732,-244.237206
0.001400,281.465366,-31.994127,-249.658406
0.001500,277.396610,-22.687861,-254.890815
0.001600,272.967241,-13.356823,-259.885178
0.001700,268.192674,-3.885775,-264.625392
0.001800,263.230790,5.585251,-269.176163
0.001900,257.984407,15.095260,-273.511838
0.002000,252.465451,24.658235,-277.564871
0.002100,246.757328,34.215283,-281.415962
0.002200,240.748455,43.791520,-285.010455
0.002300,234.487390,53.405542,-288.391096
0.002400,228.032453,62.985084,-291.544878
0.002500,221.347363,72.522664,-294.430154
0.002600,214.455649,82.001827,-297.013019
0.002700,207.381708,91.410071,-299.326086
0.002800,200.075450,100.755066,-301.349864
0.002900,192.589758,110.029158,-303.108172
0.003000,184.935708,119.199261,-304.601698
0.003100,177.100746,128.275826,-305.827239
0.003200,169.105726,137.252871,-306.774338
0.003300,160.953987,146.112796,-307.448161
0.003400,152.636316,154.854725,-307.821687
0.003500,144.174360,163.458871,-307.903289
0.003600,135.567432,171.907241,-307.689027
0.003700,126.814205,180.200735,-307.174894
0.003800,117.927303,188.328042,-306.364893
0.003900,108.911464,196.285505,-305.253268
0.004000,99.773270,204.060843,-303.833727
0.004100,90.532505,211.631344,-302.104438
0.004200,81.196911,218.978855,-300.062546
0.004300,71.772512,226.088883,-297.704847
0.004400,62.275841,232.953317,-295.030767
0.004500,52.709373,239.561236,-292.036523
0.004600,43.087432,245.907657,-288.723051
0.004700,33.420558,251.982507,-285.093022
0.004800,23.717332,257.779137,-281.156506
0.004900,13.985466,263.293338,-276.914317
0.005000,4.234530,268.517219,-272.376219
0.005100,-5.529443,273.445290,-267.536306
0.005200,-15.293259,278.071652,-262.400011
0.005300,-25.045779,282.388430,-256.967952
0.005400,-34.770397,286.393255,-251.251117
0.005500,-44.456268,290.078390,-245.259303
0.005600,-54.098817,293.455422,-239.007268
0.005700,-63.663168,296.497403,-232.507205
0.005800,-73.151570,299.207079,-225.756578
0.005900,-82.558887,301.596841,-218.767591
0.006000,-91.849780,303.642276,-211.553409
0.006100,-101.036923,305.353858,-204.105372
0.006200,-110.112560,306.744712,-196.450458
0.006300,-119.059433,307.805222,-188.594565
0.006400,-127.883976,308.549977,-180.544976
0.006500,-136.578635,308.988387,-172.319536
0.006600,-145.126160,309.118660,-163.928418
0.006700,-153.531992,308.950231,-155.378048
0.006800,-161.784132,308.489631,-146.685466
0.006900,-169.876454,307.733684,-137.854663
0.007000,-177.809622,306.690751,-128.895538
0.007100,-185.574716,305.364694,-119.817056
0.007200,-193.164068,303.756750,-110.629683
0.007300,-200.575139,301.876800,-101.341157
0.007400,-207.799152,299.728622,-91.966323
0.007500,-214.832273,297.315356,-82.512374
0.007600,-221.671372,294.643996,-72.989690
0.007700,-228.311547,291.716367,-63.408812
0.007800,-234.745357,288.536830,-53.778219
0.007900,-240.968061,285.110337,-44.108904
0.008000,-246.969084,281.439958,-34.413873
0.008100,-252.740118,277.529084,-24.703440
0.008200,-258.273256,273.380036,-14.991768
0.008300,-263.557950,268.994393,-5.289132
0.008400,-268.586780,264.372773,4.393273
0.008500,-273.352315,259.517693,14.046194
0.008600,-277.847011,254.431123,23.660827
0.008700,-282.066627,249.115458,33.228741
0.008800,-286.005980,243.574223,42.742129
0.008900,-289.660773,237.809520,52.191955
0.009000,-293.026050,231.824308,61.570599
0.009100,-296.097157,225.621611,70.869521
0.009200,-298.869154,219.203195,80.081629
0.009300,-301.337899,212.572438,89.201327
0.009400,-303.501401,205.730421,98.223127
0.009500,-305.356825,198.679826,107.143108
0.009600,-306.903824,191.422373,115.957286
0.009700,-308.141109,183.960861,124.660937
0.009800,-309.067508,176.298711,133.250734
0.009900,-309.683038,168.439412,141.721432
0.010000,-309.986639,160.387670,150.070056
0.010100,-309.978924,152.147885,158.291790
0.010200,-309.660897,143.724643,166.383091
0.010300,-309.032903,135.124139,174.339207
0.010400,-308.096568,126.351563,182.155181
0.010500,-306.851975,117.414870,189.824987
0.010600,-305.300029,108.321025,197.342104
0.010700,-303.440639,99.079074,204.698490
0.010800,-301.274813,89.698115,211.886505
0.010900,-298.803782,80.188578,218.896400
