All calculations,WOO\400 kV B1,WOO\400 kV B1,WOO\400 kV B1
"Time in s","Phase Voltage A in kV","Phase Voltage B in kV","Phase Voltage C in kV"
0.000000,305.591969,-152.102163,-153.278969
0.000100,304.586897,-144.574864,-159.897061
0.000200,304.078077,-136.410843,-167.761991
0.000300,303.563531,-128.148600,-175.383012
0.000400,303.273633,-120.287092,-182.902875
0.000500,301.927968,-111.586812,-190.424855
0.000600,300.551706,-102.601581,-197.871465
0.000700,298.944974,-93.585704,-205.304737
0.000800,296.656617,-84.672906,-212.069749
0.000900,294.407109,-75.878192,-218.504137
0.001000,291.906974,-67.187206,-224.789314
0.001100,288.829204,-58.080796,-230.873994
0.001200,285.615646,-48.822412,-236.859858
0.001300,282.070944,-39.631515,-242.612948
0.001400,278.149526,-30.437561,-247.931376
0.001500,274.092808,-21.275104,-253.030618
0.001600,269.703812,-12.061141,-257.939684
0.001700,264.968485,-2.685329,-262.617810
0.001800,260.054680,6.695351,-267.123363
0.001900,254.834840,16.088279,-271.368692
0.002000,249.329308,25.533454,-275.322853
0.002100,243.626200,34.975401,-279.065603
0.002200,237.624379,44.451117,-282.571156
0.002300,231.346366,53.963702,-285.836686
0.002400,224.863407,63.439241,-288.864432
0.002500,218.127038,72.865201,-291.593242
0.002600,211.185490,82.239225,-294.030180
0.002700,204.074270,91.542320,-296.210151
0.002800,196.753624,100.782851,-298.126379
0.002900,189.260892,109.945392,-299.776804
0.003000,181.609659,119.000128,-301.168429
0.003100,173.776328,127.954993,-302.283204
0.003200,165.792497,136.806165,-303.126040
0.003300,157.660990,145.537797,-303.700896
0.003400,149.369325,154.160010,-303.991856
0.003500,140.931944,162.657973,-304.001625
0.003600,132.351848,171.010449,-303.727495
0.003700,123.631774,179.207519,-303.157549
0.003800,114.797407,187.230563,-302.300661
0.003900,105.858720,195.073580,-301.154697
0.004000,96.819446,202.728166,-299.714460
0.004100,87.694442,210.172303,-297.973255
0.004200,78.487847,217.383733,-295.920852
0.004300,69.207868,224.344924,-293.551777
0.004400,59.874721,231.047067,-290.869025
0.004500,50.491364,237.488232,-287.878162
0.004600,41.063022,243.673595,-284.582553
0.004700,31.595907,249.598277,-280.986001
0.004800,22.094938,255.250175,-277.089010
0.004900,12.571962,260.619385,-272.890971
0.005000,3.037944,265.696566,-268.400543
0.005100,-6.500133,270.483186,-263.621754
0.005200,-16.034774,274.978508,-258.559768
0.005300,-25.557018,279.176023,-253.215366
0.005400,-35.057053,283.068124,-247.587556
0.005500,-44.526118,286.645842,-241.682350
0.005600,-53.966761,289.922460,-235.509435
0.005700,-63.348259,292.878885,-229.085385
0.005800,-72.679341,295.521533,-222.405187
0.005900,-81.954412,297.864065,-215.484142
0.006000,-91.136529,299.876887,-208.331183
0.006100,-100.231054,301.566348,-200.942052
0.006200,-109.227559,302.943469,-193.343317
0.006300,-118.104064,303.999270,-185.547206
0.006400,-126.867446,304.746780,-177.558619
0.006500,-135.508556,305.194053,-169.396013
0.006600,-144.011795,305.336258,-161.064873
0.006700,-152.381544,305.183520,-152.573398
0.006800,-160.606543,304.743722,-143.939103
0.006900,-168.676169,304.015279,-135.172273
0.007000,-176.588076,303.005811,-126.284243
0.007100,-184.327834,301.717474,-117.288364
0.007200,-191.884710,300.148406,-108.193840
0.007300,-199.253616,298.306717,-99.009657
0.007400,-206.425297,296.194696,-89.748566
0.007500,-213.393460,293.813635,-80.418180
0.007600,-220.153860,291.168281,-71.026969
0.007700,-226.699079,288.259313,-61.586260
0.007800,-233.021967,285.090993,-52.103740
0.007900,-239.118607,281.669693,-42.590751
0.008000,-244.980616,277.999101,-33.058213
0.008100,-250.601266,274.082271,-23.514473
0.008200,-255.975304,269.921817,-13.970301
0.008300,-261.095082,265.520277,-4.434198
0.008400,-265.956903,260.880323,5.085186
0.008500,-270.556723,256.005637,14.580606
0.008600,-274.889226,250.897987,24.046067
0.008700,-278.951157,245.558418,33.475720
0.008800,-282.738434,239.989815,42.863551
0.008900,-286.248378,234.194774,52.201914
0.009000,-289.478880,228.178049,61.484137
0.009100,-292.428028,221.943663,70.703231
0.009200,-295.091971,215.493612,79.853021
0.009300,-297.466115,208.830347,88.927911
0.009400,-299.546413,201.955530,97.919913
0.009500,-301.328208,194.872955,106.821614
0.009600,-302.809423,187.586835,115.624602
0.009700,-303.988189,180.101612,124.321444
0.009800,-304.862937,172.422625,132.906022
0.009900,-305.434149,164.555255,141.371299
0.010000,-305.701295,156.507581,149.710635
0.010100,-305.665692,148.287580,157.915961
0.010200,-305.328328,139.903736,165.979115
0.010300,-304.689222,131.364305,173.892400
0.010400,-303.748659,122.676168,181.647572
