All calculations,WOO\400 kV B1,WOO\400 kV B1,WOO\400 kV B1
"Time in s","Phase Voltage A in kV","Phase Voltage B in kV","Phase Voltage C in kV"
0.000000,305.910314,-153.672191,-152.150938
0.000100,305.513747,-145.395280,-159.989350
0.000200,305.003709,-137.206808,-167.881171
0.000300,304.512035,-128.886180,-175.577643
0.000400,304.253784,-121.011035,-183.112554
0.000500,302.851776,-112.389494,-190.502181
0.000600,301.427122,-103.574986,-197.780294
0.000700,299.823770,-94.792747,-204.971516
0.000800,297.585814,-86.076138,-211.588355
0.000900,295.357874,-77.275769,-218.048998
0.001000,292.832794,-68.536678,-224.335336
0.001100,289.743844,-59.469982,-230.396931
0.001200,286.550715,-50.322277,-236.318417
0.001300,283.034296,-41.175434,-242.036293
0.001400,279.135715,-31.971983,-247.383029
0.001500,275.102802,-22.755494,-252.568368
0.001600,270.713916,-13.517916,-257.508144
0.001700,265.999620,-4.136339,-262.231947
0.001800,261.110983,5.241156,-266.760237
0.001900,255.940189,14.621924,-271.028209
0.002000,250.503278,24.029516,-275.011514
0.002100,244.880358,33.439038,-278.805805
0.002200,238.961014,42.867979,-282.343869
0.002300,232.806115,52.314212,-285.661422
0.002400,226.454991,61.720636,-288.739846
0.002500,219.856773,71.102135,-291.555272
0.002600,213.046596,80.463262,-294.109878
0.002700,206.061074,89.776711,-296.422292
0.002800,198.859485,99.034901,-298.464631
0.002900,191.489887,108.220521,-300.250190
0.003000,183.946874,117.309048,-301.770994
0.003100,176.217630,126.297104,-303.014060
0.003200,168.331816,135.179098,-303.976408
0.003300,160.288997,143.939792,-304.658691
0.003400,152.075022,152.593784,-305.049334
0.003500,143.706902,161.124800,-305.155179
0.003600,135.181552,169.519045,-304.971264
0.003700,126.506164,177.764538,-304.488916
0.003800,117.702813,185.849534,-303.718831
0.003900,108.776586,193.766306,-302.653679
0.004000,99.730805,201.511932,-301.294761
0.004100,90.576104,209.067419,-299.633922
0.004200,81.313395,216.420120,-297.666040
0.004300,71.950947,223.548725,-295.383684
0.004400,62.509716,230.443703,-292.790453
0.004500,52.993400,237.092093,-289.882109
0.004600,43.415285,243.493374,-286.663352
0.004700,33.784439,249.633587,-283.129907
0.004800,24.112811,255.498611,-279.286849
0.004900,14.415571,261.072270,-275.130772
0.005000,4.707920,266.345516,-270.675428
0.005100,-5.002718,271.316134,-265.921054
0.005200,-14.704273,275.985093,-260.879548
0.005300,-24.388615,280.345315,-255.549800
0.005400,-34.041802,284.392224,-249.938530
0.005500,-43.655193,288.115991,-244.050092
0.005600,-53.229011,291.531535,-237.897649
0.005700,-62.731601,294.615686,-231.493646
0.005800,-72.169673,297.375030,-224.835524
0.005900,-81.538654,299.822452,-217.936158
0.006000,-90.797893,301.928048,-210.808504
0.006100,-99.955038,303.697859,-203.444770
0.006200,-108.996711,305.141029,-195.873206
0.006300,-117.901896,306.244310,-188.100302
0.006400,-126.677492,307.019743,-180.130530
0.006500,-135.315682,307.473851,-171.978856
0.006600,-143.802367,307.603096,-163.650716
0.006700,-152.147132,307.420969,-155.151675
0.006800,-160.340216,306.936591,-146.499326
0.006900,-168.376986,306.150937,-137.700151
0.007000,-176.257758,305.074035,-128.765977
0.007100,-183.971582,303.710007,-119.708528
0.007200,-191.510513,302.059483,-110.537758
0.007300,-198.872236,300.133234,-101.262414
0.007400,-206.048151,297.933926,-91.895716
0.007500,-213.034441,295.465245,-82.444844
0.007600,-219.826605,292.732887,-72.919845
0.007700,-226.417780,289.739172,-63.332978
0.007800,-232.800497,286.489320,-53.693735
0.007900,-238.970026,282.990742,-44.015342
0.008000,-244.916270,279.246571,-34.310426
0.008100,-250.631335,275.261226,-24.589848
0.008200,-256.107627,271.037243,-14.867308
0.008300,-261.335859,266.578992,-5.154800
0.008400,-266.310708,261.890348,4.535568
0.008500,-271.026263,256.977521,14.192259
0.008600,-275.475605,251.843725,23.806010
0.008700,-279.653934,246.492653,33.366912
0.008800,-283.555401,240.927626,42.866672
0.008900,-287.175854,235.152233,52.295226
0.009000,-290.511937,229.170333,61.645373
0.009100,-293.560388,222.985713,70.909002
0.009200,-296.316788,216.598945,80.080600
0.009300,-298.775933,210.012143,89.154409
0.009400,-300.933755,203.224991,98.124417
0.009500,-302.785577,196.240189,106.984673
0.009600,-304.329892,189.059373,115.730185
0.009700,-305.565113,181.685348,124.355821
0.009800,-306.490728,174.120827,132.859415
0.009900,-307.107929,166.369485,141.236574
0.010000,-307.417378,158.436451,149.485109
0.010100,-307.421187,150.327524,157.600093
0.010200,-307.121326,142.047952,165.577874
0.010300,-306.518043,133.603822,173.413410
0.010400,-305.612151,124.999232,181.102004
0.010500,-304.402923,116.240816,188.637832
0.010600,-302.891087,107.334432,196.015401
0.010700,-301.077353,98.288227,203.228198
0.010800,-298.963981,89.110080,210.270979
0.010900,-296.553188,79.808797,217.136633
0.011000,-293.847618,70.394031,223.819329
0.011100,-290.853758,60.879463,230.311002
0.011200,-287.566902,51.272690,236.600972
0.011300,-283.994692,41.587526,242.682790
0.011400,-280.142217,31.838309,248.548042
0.011500,-276.005068,22.035078,254.183513
0.011600,-271.593893,12.192201,259.584172
0.011700,-266.913114,2.325438,264.740397
0.011800,-261.965056,-7.552797,269.641852
