All calculations,WOO\400 kV B1,WOO\400 kV B1,WOO\400 kV B1
"Time in s","Phase Voltage A in kV","Phase Voltage B in kV","Phase Voltage C in kV"
0.000000,299.453980,-151.185867,-147.846076
0.000100,299.292482,-141.978612,-151.779608
0.000200,296.561450,-141.420339,-160.176824
0.000300,297.732138,-127.166934,-165.190574
0.000400,295.268609,-124.610000,-175.406424
0.000500,295.876607,-109.754273,-181.835260
0.000600,292.637141,-106.896378,-192.058585
0.000700,292.499059,-91.195549,-197.487907
0.000800,288.865857,-90.201754,-204.785760
0.000900,288.411025,-74.758848,-209.690635
0.001000,284.287381,-72.633968,-215.936801
0.001100,282.996171,-58.288256,-223.126416
0.001200,279.284138,-52.011999,-227.019077
0.001300,276.009536,-43.030747,-236.919061
0.001400,273.669702,-29.497817,-236.190077
0.001500,267.215881,-30.197829,-250.360335
0.001600,267.369455,-4.435122,-244.564094
0.001700,256.860917,-19.270587,-264.081380
0.001800,260.864531,23.298766,-252.078453
0.001900,245.290021,-10.243701,-276.631458
0.002000,254.103295,52.950200,-258.474656
0.002100,232.495464,-1.904092,-287.262857
0.002200,246.409110,82.481719,-265.256643
0.002300,218.833432,7.525691,-295.126075
0.002400,236.917766,107.991519,-273.843430
0.002500,205.273454,21.888075,-298.253842
0.002600,224.705470,125.174846,-285.557915
0.002700,193.416843,47.289335,-294.568592
0.002800,208.521427,128.105354,-302.137280
0.002900,184.838642,90.226902,-282.539427
0.003000,186.303094,109.391087,-325.271727
0.003100,181.019593,157.367395,-261.312875
0.003200,156.150478,62.622684,-355.394809
0.003300,183.773957,254.170548,-231.124914
0.003400,116.999341,-15.563876,-390.710234
0.003500,194.127628,381.347471,-194.733330
0.003600,68.699329,-122.494147,-426.609512
0.003700,211.231358,531.069700,-158.908429
0.003800,13.382030,-244.838974,-454.470407
0.003900,231.817774,682.772019,-134.980172
0.004000,-43.190126,-354.023241,-460.484301
0.004100,248.702799,798.665238,-139.232139
0.004200,-90.988946,-402.650883,-426.014882
0.004300,249.440872,820.871084,-192.592855
0.004400,-114.769836,-323.161711,-329.066256
0.004500,216.137420,672.445904,-317.929551
0.004600,-93.733385,-31.225377,-147.459330
0.004700,126.023409,264.541374,-535.107230
0.004800,-3.104863,562.721203,134.675405
0.004900,-46.395082,-487.587750,-853.449549
0.005000,182.202718,1531.208332,517.313833
0.005100,-324.203340,-1636.295295,-1260.692540
0.005200,481.204592,2895.267162,972.395714
0.005300,-719.582235,-3159.852996,-1709.373275
0.005400,896.652312,4576.897838,1429.825084
0.005500,-1221.935206,-4909.714074,-2102.961581
0.005600,1401.021107,6342.088637,1764.178321
0.005700,-1782.626099,-6552.314194,-2284.981726
0.005800,1920.040480,7744.332543,1787.029434
0.005900,-2297.693695,-7518.014268,-2036.167924
0.006000,2315.984193,8084.896188,1251.211037
0.006100,-2592.303883,-6978.545784,-1087.350200
0.006200,2374.815554,6414.686547,-125.410286
0.006300,-2412.572236,-3882.118652,843.323198
0.006400,1804.375511,1611.079288,-2607.591144
0.006500,-1432.575098,2918.206568,3980.846296
0.006600,253.092912,-7432.596236,-6354.209249
0.006700,712.805057,14405.314552,8385.517722
0.006800,-2639.825476,-21470.411717,-11290.807109
0.006900,4356.759725,30980.762616,13805.674021
0.007000,-7150.534555,-40402.546476,-16947.013150
0.007100,9682.254085,51873.267811,19512.231452
0.007200,-13325.263069,-62611.846306,-22287.267561
