All calculations,WOO\400 kV B1,WOO\400 kV B1,WOO\400 kV B1
"Time in s","Phase Voltage A in kV","Phase Voltage B in kV","Phase Voltage C in kV"
0.000000,306.739447,-154.635487,-152.006173
0.000100,306.388050,-146.236249,-160.016993
0.000200,305.889090,-138.032528,-167.942156
0.000300,305.420119,-129.661247,-175.707176
0.000400,305.200054,-121.676009,-183.386971
0.000500,303.798735,-113.059530,-190.779784
0.000600,302.363931,-104.279008,-198.010930
0.000700,300.738355,-95.555528,-205.119780
0.000800,298.512500,-86.816185,-211.772836
0.000900,296.295364,-77.983068,-218.273130
0.001000,293.777423,-69.212652,-224.598578
0.001100,290.694325,-60.144672,-230.668178
0.001200,287.501377,-51.004243,-236.581032
0.001300,283.993114,-41.863489,-242.299740
0.001400,280.123154,-32.647185,-247.685382
0.001500,276.111276,-23.415644,-252.905673
0.001600,271.735606,-14.162020,-257.874263
0.001700,267.027805,-4.774272,-262.610573
0.001800,262.139714,4.603264,-267.139454
0.001900,256.978903,13.986447,-271.417828
0.002000,251.560319,23.400287,-275.424334
0.002100,245.952391,32.817219,-279.240782
0.002200,240.052170,42.253706,-282.805290
0.002300,233.924561,51.703381,-286.155486
0.002400,227.611089,61.109415,-289.273283
0.002500,221.060023,70.493488,-292.140381
0.002600,214.288799,79.866143,-294.748865
0.002700,207.319954,89.207022,-297.109187
0.002800,200.113513,98.506021,-299.192074
0.002900,192.722994,107.739636,-301.010288
0.003000,185.152192,116.877430,-302.558095
0.003100,177.394092,125.919467,-303.831914
0.003200,169.474692,134.863092,-304.828514
0.003300,161.395798,143.691246,-305.548325
0.003400,153.150247,152.406243,-305.973782
0.003500,144.759896,160.985083,-306.109801
0.003600,136.223069,169.415450,-305.953752
0.003700,127.541550,177.696683,-305.503538
0.003800,118.726960,185.824347,-304.767450
0.003900,109.781385,193.792082,-303.735733
0.004000,100.710797,201.589571,-302.405062
0.004100,91.531168,209.194452,-300.768854
0.004200,82.246442,216.594561,-298.825311
0.004300,72.862442,223.774458,-296.571083
0.004400,63.395321,230.726992,-294.007324
0.004500,53.849934,237.435817,-291.127492
0.004600,44.244195,243.892081,-287.932253
0.004700,34.590955,250.079649,-284.418698
0.004800,24.900842,255.989038,-280.595523
0.004900,15.183465,261.612453,-276.462674
0.005000,5.448171,266.943804,-272.031486
0.005100,-4.299535,271.978520,-267.297612
0.005200,-14.047494,276.713162,-262.268572
0.005300,-23.785930,281.139996,-256.944129
0.005400,-33.499032,285.256139,-251.334669
0.005500,-43.175842,289.052770,-245.448365
0.005600,-52.812757,292.542126,-239.299445
0.005700,-62.373700,295.696519,-232.900343
0.005800,-71.862046,298.518987,-226.248232
0.005900,-81.273322,301.022381,-219.355813
0.006000,-90.571305,303.180443,-212.235614
0.006100,-99.768691,305.002166,-204.877882
0.006200,-108.855796,306.497316,-197.308049
0.006300,-117.813136,307.651837,-189.530249
0.006400,-126.646594,308.476758,-181.549007
0.006500,-135.346412,308.977718,-173.380412
0.006600,-143.895589,309.150158,-165.031689
0.006700,-152.300019,309.004095,-156.508718
0.006800,-160.547464,308.545726,-147.828422
0.006900,-168.632839,307.774319,-138.996085
0.007000,-176.557273,306.700188,-130.023107
0.007100,-184.311705,305.328714,-120.920536
0.007200,-191.889278,303.662265,-111.699157
0.007300,-199.287390,301.712236,-102.368498
0.007400,-206.497056,299.482773,-92.943647
0.007500,-213.514734,296.979273,-83.433238
0.007600,-220.336940,294.209592,-73.848384
0.007700,-226.958390,291.176790,-64.200549
0.007800,-233.371905,287.885591,-54.498174
