All calculations,WOO\400 kV B1,WOO\400 kV B1,WOO\400 kV B1
"Time in s","Phase Voltage A in kV","Phase Voltage B in kV","Phase Voltage C in kV"
0.000000,302.131716,-148.092869,-153.905280
0.000100,300.951570,-141.697166,-159.185480
0.000200,300.409957,-133.561572,-166.952789
0.000300,299.836782,-125.482187,-174.358210
0.000400,299.420322,-118.185054,-181.172384
0.000500,298.039164,-109.589218,-188.523514
0.000600,296.648559,-100.695024,-195.941636
0.000700,295.121515,-91.757642,-203.368081
0.000800,292.889060,-83.133966,-209.878356
0.000900,290.637844,-74.537928,-216.137609
0.001000,288.121299,-65.987074,-222.230941
0.001100,285.073263,-56.986770,-228.254582
0.001200,281.931938,-47.883308,-234.194316
0.001300,278.469813,-38.812461,-239.878419
0.001400,274.601043,-29.748053,-245.116935
0.001500,270.591326,-20.698877,-250.160470
0.001600,266.248950,-11.587995,-255.007147
0.001700,261.572564,-2.303049,-259.667022
0.001800,256.728622,6.970694,-264.134138
0.001900,251.584492,16.217002,-268.289819
0.002000,246.163259,25.481936,-272.153073
0.002100,240.551485,34.757513,-275.829169
0.002200,234.649619,44.073752,-279.276364
0.002300,228.497632,53.406578,-282.486483
0.002400,222.150220,62.682081,-285.441421
0.002500,215.541285,71.921738,-288.106519
0.002600,208.718530,81.143730,-290.518164
0.002700,201.718839,90.326127,-292.695737
0.002800,194.505852,99.457506,-294.611938
0.002900,187.119105,108.510994,-296.261351
0.003000,179.564837,117.455492,-297.638638
0.003100,171.824178,126.294934,-298.730935
0.003200,163.935616,135.023271,-299.548700
0.003300,155.899848,143.633347,-300.097178
0.003400,147.702761,152.137958,-300.368023
0.003500,139.361451,160.521367,-300.365031
0.003600,130.877116,168.758507,-300.075336
0.003700,122.256416,176.835113,-299.487086
0.003800,113.526280,184.733990,-298.609901
0.003900,104.693433,192.454823,-297.446375
0.004000,95.759882,199.996028,-295.998494
0.004100,86.737793,207.342514,-294.262504
0.004200,77.626903,214.475082,-292.224921
0.004300,68.436176,221.375141,-289.880315
0.004400,59.185383,228.031675,-287.230876
0.004500,49.878778,234.442561,-284.283462
0.004600,40.524487,240.610780,-281.043179
0.004700,31.131922,246.527413,-277.510863
0.004800,21.707940,252.173203,-273.680272
0.004900,12.267011,257.531606,-269.547381
0.005000,2.820284,262.593617,-265.120215
0.005100,-6.625743,267.365982,-260.409276
0.005200,-16.064059,271.853888,-255.425951
0.005300,-25.486833,276.052834,-250.172437
0.005400,-34.886101,279.952599,-244.644230
0.005500,-44.253452,283.542109,-238.843466
0.005600,-53.593495,286.835932,-232.778874
0.005700,-62.874191,289.816541,-226.469283
0.005800,-72.105178,292.491480,-219.910492
0.005900,-81.281572,294.874280,-213.117910
0.006000,-90.365765,296.931504,-206.097131
0.006100,-99.363914,298.666205,-198.840433
0.006200,-108.264242,300.086427,-191.371994
0.006300,-117.042271,301.179674,-183.703675
0.006400,-125.704640,301.958160,-175.840125
0.006500,-134.240288,302.428186,-167.799830
0.006600,-142.634859,302.583772,-159.586572
0.006700,-150.894614,302.436964,-151.207726
0.006800,-159.008991,301.996205,-142.680957
0.006900,-166.968407,301.260910,-134.016292
0.007000,-174.771290,300.239392,-125.224734
0.007100,-182.403217,298.932542,-116.319157
0.007200,-189.854730,297.338473,-107.307311
0.007300,-197.121491,295.465556,-98.198519
0.007400,-204.193853,293.316094,-89.005720
0.007500,-211.065412,290.892234,-79.737112
0.007600,-217.731502,288.199681,-70.402330
0.007700,-224.184097,285.239869,-61.013282
0.007800,-230.416927,282.018144,-51.578242
0.007900,-236.426000,278.541224,-42.108723
0.008000,-242.202820,274.811859,-32.614876
0.008100,-247.740546,270.832238,-23.104255
0.008200,-253.033490,266.604914,-13.587393
0.008300,-258.074240,262.133676,-4.074038
0.008400,-262.859760,257.424349,5.425142
0.008500,-267.386574,252.483520,14.900456
0.008600,-271.649917,247.315097,24.344541
0.008700,-275.646938,241.921851,33.750761
0.008800,-279.373845,236.307902,43.112133
0.008900,-282.827990,230.477652,52.419896
0.009000,-286.007557,224.437610,61.665769
0.009100,-288.910496,218.192800,70.841686
0.009200,-291.532988,211.745491,79.941351
0.009300,-293.870521,205.097727,88.959351
0.009400,-295.918796,198.251093,97.887991
0.009500,-297.673047,191.209626,106.719416
0.009600,-299.130877,183.978165,115.444624
0.009700,-300.290142,176.561483,124.055798
0.009800,-301.149388,168.964932,132.546768
0.009900,-301.709311,161.194098,140.910639
0.010000,-301.969807,153.257308,149.140532
0.010100,-301.932406,145.163032,157.228062
0.010200,-301.598234,136.919706,165.165016
0.010300,-300.967288,128.534700,172.944379
0.010400,-300.039847,120.013518,180.559337
0.010500,-298.815564,111.362695,188.003812
0.010600,-297.294893,102.589089,195.270795
0.010700,-295.478882,93.700928,202.353404
0.010800,-293.369540,84.706746,209.244950
0.010900,-290.969351,75.614658,215.939099
0.011000,-288.280962,66.433503,222.430168
0.011100,-285.311195,57.175011,228.712353
0.011200,-282.055235,47.844748,234.776276
0.011300,-278.520524,38.453200,240.618402
0.011400,-274.711473,29.011556,246.232576
0.011500,-270.623217,19.525590,251.609123
0.011600,-266.265217,10.006073,256.745462
0.011700,-261.641307,0.464566,261.635423
0.011800,-256.752182,-9.090214,266.270686
0.011900,-251.607505,-18.646050,270.648788
0.012000,-246.211867,-28.191585,274.764408
0.012100,-240.569607,-37.717118,278.611689
0.012200,-234.690364,-47.209935,282.188531
0.012300,-228.580206,-56.658845,285.489851
0.012400,-222.245175,-66.053333,288.511467
0.012500,-215.693851,-75.382322,291.251551
0.012600,-208.931471,-84.636525,293.706190
0.012700,-201.963739,-93.806694,295.872687
0.012800,-194.798073,-102.883073,297.748855
0.012900,-187.439869,-111.856460,299.331535
0.013000,-179.896174,-120.717837,300.618710
0.013100,-172.175119,-129.457515,301.609027
0.013200,-164.283986,-138.065812,302.300838
0.013300,-156.231950,-146.532748,302.692793
0.013400,-148.028201,-154.847522,302.784067
0.013500,-139.681419,-163.000461,302.573504
0.013600,-131.200670,-170.982517,302.060815
0.013700,-122.594364,-178.785210,301.246460
0.013800,-113.870661,-186.401121,300.130546
0.013900,-105.037963,-193.822556,298.714135
0.014000,-96.105039,-201.042055,296.998344
0.014100,-87.080782,-208.052606,294.984631
0.014200,-77.974363,-214.847187,292.675454
0.014300,-68.795178,-221.419410,290.073189
0.014400,-59.552206,-227.763157,287.180595
0.014500,-50.254383,-233.872591,284.000475
0.014600,-40.910122,-239.742439,280.535763
0.014700,-31.527576,-245.368091,276.789710
0.014800,-22.114814,-250.745372,272.765829
0.014900,-12.679785,-255.870287,268.468074
0.015000,-3.230911,-260.739088,263.900367
0.015100,6.223293,-265.347781,259.067190
0.015200,15.673865,-269.692545,253.973307
0.015300,25.111551,-273.769803,248.623868
0.015400,34.526965,-277.575838,243.024677
0.015500,43.910265,-281.107398,237.181521
0.015600,53.251927,-284.361130,231.100708
0.015700,62.542311,-287.334103,224.788696
0.015800,71.772003,-290.024078,218.252157
0.015900,80.932163,-292.429068,211.498281
0.016000,90.014005,-294.547848,204.534245
0.016100,99.009147,-296.379482,197.367572
0.016200,107.909362,-297.923328,190.005873
0.016300,116.706379,-299.178986,182.456948
0.016400,125.391822,-300.146046,174.728848
0.016500,133.957063,-300.824081,166.829673
0.016600,142.392384,-301.211642,158.768050
0.016700,150.690695,-301.309166,150.551403
0.016800,158.842134,-301.115566,142.188691
0.016900,166.837436,-300.630384,133.688919
0.017000,174.670336,-299.854944,125.059788
0.017100,182.331578,-298.789020,116.310736
0.017200,189.813076,-297.433676,107.450869
0.017300,197.108340,-295.790402,98.488646
0.017400,204.208596,-293.859779,89.433678
0.017500,211.106225,-291.643462,80.295320
0.017600,217.794412,-289.143219,71.082678
0.017700,224.265094,-286.360588,61.805367
0.017800,230.511722,-283.297971,52.472670
0.017900,236.528355,-279.958154,43.093604
0.018000,242.308769,-276.344070,33.677495
0.018100,247.848061,-272.459482,24.233371
0.018200,253.141500,-268.308381,14.770051
0.018300,258.184146,-263.894715,5.296607
0.018400,262.971792,-259.222857,-4.178184
0.018500,267.500073,-254.297094,-13.645505
0.018600,271.764392,-249.121768,-23.096359
0.018700,275.760651,-243.701507,-32.521961
0.018800,279.484684,-238.040841,-41.913427
0.018900,282.932297,-232.144531,-51.261974
0.019000,286.099936,-226.017614,-60.558910
0.019100,288.984188,-219.665392,-69.795542
0.019200,291.581988,-213.093630,-78.963262
0.019300,293.891016,-206.308497,-88.053488
0.019400,295.909148,-199.316586,-97.057724
0.019500,297.634760,-192.124805,-105.967486
0.019600,299.066656,-184.740401,-114.774418
0.019700,300.203675,-177.170812,-123.470272
0.019800,301.045041,-169.423489,-132.046792
0.019900,301.590058,-161.506028,-140.495947
0.020000,301.838121,-153.426026,-148.809757
0.020100,301.788978,-145.191181,-156.980381
0.020200,301.442641,-136.809422,-165.000146
0.020300,300.799405,-128.288869,-172.861427
0.020400,299.859926,-119.637894,-180.556740
0.020500,298.625153,-110.865029,-188.078625
0.020600,297.096130,-101.978934,-195.419730
0.020700,295.274145,-92.988343,-202.572739
0.020800,293.160601,-83.902050,-209.530388
0.020900,290.757014,-74.728957,-216.285544
0.021000,288.065285,-65.478042,-222.831141
0.021100,285.087562,-56.158526,-229.160371
0.021200,281.826583,-46.779781,-235.266581
0.021300,278.285623,-37.351503,-241.143341
0.021400,274.468353,-27.883703,-246.784529
0.021500,270.379031,-18.386439,-252.184176
0.021600,266.022204,-8.869984,-257.336604
0.021700,261.402636,0.655434,-262.236370
0.021800,256.525327,10.179689,-266.878213
0.021900,251.395356,19.692656,-271.257133
0.022000,246.017913,29.184447,-275.368346
0.022100,240.398065,38.645500,-279.207240
0.022200,234.541735,48.065935,-282.769791
0.022300,228.454254,57.436474,-286.051990
0.022400,222.141301,66.747859,-289.050073
0.022500,215.609444,75.990454,-291.760913
0.022600,208.864762,85.155187,-294.181404
0.022700,201.913955,94.232815,-296.308751
0.022800,194.764257,103.213856,-298.140708
0.022900,187.422700,112.089366,-299.675148
0.023000,179.896807,120.850307,-300.910337
0.023100,172.194328,129.487684,-301.845016
0.023200,164.322888,137.993040,-302.478129
0.023300,156.290434,146.357926,-302.809096
0.023400,148.105057,154.574150,-302.837750
0.023500,139.774834,162.633895,-302.564207
0.023600,131.308146,170.529370,-301.989021
0.023700,122.713499,178.253032,-301.113073
0.023800,113.999366,185.797609,-299.937536
0.023900,105.174361,193.155989,-298.463924
0.024000,96.247080,200.321399,-296.694011
0.024100,87.226009,207.287395,-294.629821
0.024200,78.119654,214.047737,-292.273671
0.024300,68.936496,220.596490,-289.628142
0.024400,59.685065,226.927949,-286.696074
0.024500,50.374087,233.036466,-283.480647
0.024600,41.012480,238.916556,-279.985312
0.024700,31.609361,244.562793,-276.213803
0.024800,22.174046,249.969776,-272.170172
0.024900,12.716002,255.132286,-267.858690
0.025000,3.244747,260.045217,-263.283892
0.025100,-6.230147,264.703665,-258.450541
0.025200,-15.699171,269.103012,-253.363577
0.025300,-25.152949,273.238866,-248.028182
0.025400,-34.582130,277.107180,-242.449706
0.025500,-43.977511,280.704214,-236.633716
0.025600,-53.330001,284.026497,-230.585993
0.025700,-62.630535,287.070867,-224.312504
0.025800,-71.870141,289.834412,-217.819417
0.025900,-81.039918,292.314439,-211.113077
0.026000,-90.130946,294.508468,-204.200019
0.026100,-99.134330,296.414242,-197.086931
0.026200,-108.041236,298.029692,-189.780683
0.026300,-116.842859,299.352987,-182.288318
0.026400,-125.530474,300.382565,-174.617040
0.026500,-134.095449,301.117112,-166.774261
0.026600,-142.529197,301.555626,-158.767566
0.026700,-150.823269,301.697383,-150.604743
0.026800,-158.969281,301.541955,-142.293764
0.026900,-166.958935,301.089215,-133.842762
0.027000,-174.784102,300.339293,-125.260056
0.027100,-182.436753,299.292651,-116.554087
0.027200,-189.909077,297.950078,-107.733415
0.027300,-197.193543,296.312708,-98.806713
0.027400,-204.282879,294.382071,-89.782735
0.027500,-211.170118,292.160084,-80.670321
0.027600,-217.848658,289.649082,-71.478349
0.027700,-224.311959,286.851615,-62.215849
0.027800,-230.553862,283.770663,-52.891896
0.027900,-236.568378,280.409427,-43.515634
0.028000,-242.349456,276.771205,-34.096344
0.028100,-247.891396,272.859625,-24.643305
0.028200,-253.188560,268.678469,-15.165851
0.028300,-258.235374,264.231668,-5.673366
0.028400,-263.026661,259.523463,3.824767
0.028500,-267.557413,254.558306,13.319168
0.028600,-271.822873,249.340904,22.800492
0.028700,-275.818725,243.876292,32.259405
0.028800,-279.540909,238.169779,41.686622
0.028900,-282.985695,232.226965,51.072886
0.029000,-286.149760,226.053725,60.408992
0.029100,-289.030056,219.656214,69.685788
0.029200,-291.623866,213.040830,78.894191
0.029300,-293.928824,206.214210,88.025213
0.029400,-295.942830,199.183181,97.069963
0.029500,-297.664101,191.954767,106.019604
0.029600,-299.091155,184.536181,114.865419
0.029700,-300.222759,176.934819,123.598803
0.029800,-301.057996,169.158247,132.211245
0.029900,-301.596211,161.214196,140.694328
