Freq.Sweep,POI 138 kV-ACE,POI 138 kV-ACE,POI 138 kV-ACE,POI 138 kV-ACE,POI 138 kV-ACE,POI 138 kV-ACE,POI 138 kV-ACE
"Rated Frequency","R, Re(Z) in Ohm","X, Im(Z) in Ohm","Z, Magnitude in Ohm","R1 in Ohm","X1 in Ohm","R2 in Ohm","X2 in Ohm"
1.500000,1.917628,23.403808,23.482238,1.955644,26.678066,1.955644,26.678066
1.666667,2.276606,27.564375,27.658230,2.422977,31.962913,2.422977,31.962913
1.833333,2.809063,32.702574,32.822998,3.142028,38.677256,3.142028,38.677256
2.000000,3.522089,39.425509,39.582520,4.121201,47.725554,4.121201,47.725554
2.166667,5.026975,48.899049,49.156765,6.274558,60.848534,6.274558,60.848534
2.333333,8.266935,63.876854,64.409585,11.013151,82.166333,11.013151,82.166333
2.500000,17.650828,92.330446,94.002463,24.945183,123.623000,24.945183,123.623000
2.666667,68.609620,165.827757,179.460650,101.210648,232.554248,101.210648,232.554248
2.833333,361.745316,-124.075162,382.432111,540.702888,-203.744477,540.702888,-203.744477
3.000000,42.282607,-106.496767,114.583507,61.241395,-178.947370,61.241395,-178.947370
3.166667,14.468446,-52.486762,54.444431,19.178786,-99.702042,19.178786,-99.702042
3.333333,8.233152,-28.978326,30.125208,9.374328,-66.460032,9.374328,-66.460032
3.500000,6.178627,-15.305757,16.505806,5.675323,-48.311804,5.675323,-48.311804
3.666667,5.582075,-5.719619,7.992097,3.900800,-36.767450,3.900800,-36.767450
3.833333,5.808094,2.020983,6.149660,2.918328,-28.675750,2.918328,-28.675750
4.000000,6.826116,9.093658,11.370597,2.320366,-22.610991,2.320366,-22.610991
4.166667,9.061103,16.362672,18.704027,1.931370,-17.836605,1.931370,-17.836605
4.333333,13.851622,24.653750,28.278522,1.665687,-13.934279,1.665687,-13.934279
4.500000,25.304624,34.090374,42.455596,1.477495,-10.648984,1.477495,-10.648984
4.666667,53.860378,34.912688,64.185950,1.340487,-7.816427,1.340487,-7.816427
4.833333,71.352799,-10.859993,72.174521,1.238683,-5.325994,1.238683,-5.325994
5.000000,34.841051,-30.781879,46.491105,1.161926,-3.100468,1.161926,-3.100468
5.166667,15.777998,-21.912593,27.001981,1.103507,-1.084296,1.103507,-1.084296
5.333333,8.571649,-13.232827,15.766448,1.058852,0.763521,1.058852,0.763521
5.500000,5.396513,-6.859841,8.728102,1.024758,2.473917,1.024758,2.473917
5.666667,3.776770,-2.065176,4.304527,0.998924,4.070681,0.998924,4.070681
5.833333,2.856783,1.725988,3.337701,0.979668,5.572413,0.979668,5.572413
6.000000,2.291958,4.858040,5.371557,0.965733,6.993878,0.965733,6.993878
6.166667,1.924742,7.537557,7.779422,0.956170,8.346948,0.956170,8.346948
6.333333,1.675582,9.893474,10.034361,0.950247,9.641288,0.950247,9.641288
6.500000,1.501045,12.009829,12.103269,0.947396,10.884847,0.947396,10.884847
6.666667,1.375884,13.943622,14.011340,0.947172,12.084229,0.947172,12.084229
6.833333,1.284657,15.734888,15.787243,0.949218,13.244972,0.949218,13.244972
7.000000,1.217507,17.412604,17.455117,0.953251,14.371754,0.953251,14.371754
7.166667,1.167918,18.998303,19.034168,0.959043,15.468562,0.959043,15.468562
7.333333,1.131445,20.508351,20.539539,0.966407,16.538814,0.966407,16.538814
7.500000,1.104980,21.955440,21.983228,0.975192,17.585464,0.975192,17.585464
7.666667,1.086298,23.349584,23.374839,0.985275,18.611078,0.985275,18.611078
7.833333,1.073775,24.698807,24.722137,0.996554,19.617899,0.996554,19.617899
8.000000,1.066206,26.009634,26.031478,1.008946,20.607900,1.008946,20.607900
8.166667,1.059425,27.287433,27.307991,1.017497,21.582831,1.017497,21.582831
8.333333,1.062511,28.536661,28.556435,1.036813,22.544227,1.036813,22.544227
8.500000,1.065155,29.761085,29.780140,1.052189,23.493488,1.052189,23.493488
8.666667,1.070198,30.963890,30.982379,1.068477,24.431855,1.068477,24.431855
8.833333,1.077311,32.147807,32.165853,1.085652,25.360450,1.085652,25.360450
9.000000,1.086236,33.315195,33.332898,1.103693,26.280294,1.103693,26.280294
9.166667,1.096767,34.468107,34.485552,1.122589,27.192316,1.122589,27.192316
9.333333,1.108740,35.608345,35.625602,1.142332,28.097371,1.142332,28.097371
9.500000,1.122026,36.737499,36.754629,1.162923,28.996245,1.162923,28.996245
9.666667,1.136521,37.856986,37.874042,1.184365,29.889671,1.184365,29.889671
9.833333,1.152147,38.968074,38.985102,1.206668,30.778329,1.206668,30.778329
10.000000,1.168842,40.071908,40.088951,1.229850,31.662862,1.229850,31.662862
10.166667,1.186562,41.169528,41.186624,1.253930,32.543879,1.253930,32.543879
10.333333,1.205275,42.261888,42.279071,1.278937,33.421959,1.278937,33.421959
10.500000,1.224964,43.349866,43.367170,1.304905,34.297661,1.304905,34.297661
10.666667,1.245622,44.434281,44.451737,1.331876,35.171528,1.331876,35.171528
10.833333,1.267255,45.515900,45.533538,1.359901,36.044094,1.359901,36.044094
11.000000,1.289877,46.595451,46.613301,1.389039,36.915887,1.389039,36.915887
11.166667,1.313518,47.673627,47.691719,1.419362,37.787439,1.419362,37.787439
11.333333,1.338216,48.751104,48.769468,1.450954,38.659288,1.450954,38.659288
11.500000,1.364025,49.828540,49.847206,1.483918,39.531992,1.483918,39.531992
11.666667,1.391013,50.906588,50.925589,1.518372,40.406131,1.518372,40.406131
11.833333,1.419268,51.985907,52.005277,1.554463,41.282322,1.554463,41.282322
12.000000,1.448897,53.067169,53.086945,1.592363,42.161226,1.592363,42.161226
12.166667,1.480036,54.151073,54.171295,1.632286,43.043569,1.632286,43.043569
12.333333,1.512853,55.238359,55.259072,1.674491,43.930156,1.674491,43.930156
12.500000,1.547558,56.329823,56.351077,1.719299,44.821895,1.719299,44.821895
12.666667,1.584417,57.426341,57.448195,1.767112,45.719827,1.767112,45.719827
12.833333,1.623766,58.528896,58.551416,1.818440,46.625167,1.818440,46.625167
13.000000,1.666041,59.638612,59.661878,1.873937,47.539358,1.873937,47.539358
13.166667,1.711810,60.756806,60.780917,1.934457,48.464139,1.934457,48.464139
13.333333,1.761830,61.885055,61.910129,2.001134,49.401648,2.001134,49.401648
13.500000,1.817128,63.025288,63.051478,2.075508,50.354560,2.075508,50.354560
13.666667,1.879130,64.179924,64.207427,2.159715,51.326293,2.159715,51.326293
13.833333,1.949870,65.352069,65.381151,2.256807,52.321303,2.256807,52.321303
14.000000,2.032348,66.545820,66.576847,2.371277,53.345536,2.371277,53.345536
14.166667,2.131154,67.766723,67.800225,2.510010,54.407118,2.510010,54.407118
14.333333,2.253641,69.022497,69.059279,2.684030,55.517437,2.684030,55.517437
14.500000,2.412268,70.324165,70.365526,2.912021,56.692843,2.912021,56.692843
14.666667,2.629631,71.687733,71.735947,3.227873,57.957163,3.227873,57.957163
14.833333,2.950349,73.135998,73.195484,3.698515,59.344414,3.698515,59.344414
15.000000,3.472087,74.695864,74.776516,4.470442,60.894774,4.470442,60.894774
15.166667,4.432827,76.357025,76.485589,5.900643,62.592609,5.900643,62.592609
15.333333,6.403940,77.746705,78.010003,8.846212,63.878538,8.846212,63.878538
15.500000,9.339485,76.610853,77.178033,13.238181,61.371120,13.238181,61.371120
15.666667,7.674868,73.505499,73.905088,10.729236,55.904408,10.729236,55.904408
15.833333,4.795799,74.915460,75.068808,6.398324,57.205807,6.398324,57.205807
16.000000,4.037249,77.443255,77.548418,5.248016,60.178656,5.248016,60.178656
16.166667,4.538529,79.833988,79.962891,5.987216,62.940386,5.987216,62.940386
16.333333,6.378005,81.642198,81.890948,8.733475,64.822586,8.733475,64.822586
16.500000,8.984736,80.636613,81.135620,12.630287,62.478007,12.630287,62.478007
16.666667,7.547471,78.100871,78.464708,10.460448,57.832140,10.460448,57.832140
16.833333,4.893817,78.895100,79.046734,6.465664,58.175227,6.465664,58.175227
17.000000,3.615031,80.778981,80.859830,4.532889,60.146432,4.532889,60.146432
17.166667,3.039601,82.598115,82.654024,3.654790,62.013934,3.654790,62.013934
17.333333,2.766715,84.267129,84.312536,3.230118,63.649489,3.230118,63.649489
17.500000,2.632592,85.820645,85.861014,3.013177,65.104852,3.013177,65.104852
17.666667,2.569178,87.295196,87.332994,2.901867,66.434635,2.901867,66.434635
17.833333,2.545236,88.716384,88.752887,2.849315,67.677057,2.849315,67.677057
18.000000,2.545073,90.101298,90.137236,2.831959,68.857569,2.831959,68.857569
18.166667,2.560163,91.461511,91.497336,2.837000,69.993321,2.837000,69.993321
18.333333,2.585615,92.805036,92.841048,2.857079,71.096144,2.857079,71.096144
18.500000,2.618466,94.137607,94.174017,2.887733,72.174439,2.887733,72.174439
18.666667,2.656854,95.463438,95.500403,2.926146,73.234324,2.926146,73.234324
18.833333,2.699568,96.785713,96.823354,2.970482,74.280368,2.970482,74.280368
19.000000,2.745803,98.106895,98.145312,3.019512,75.316055,3.019512,75.316055
19.166667,2.795015,99.428936,99.468213,3.072394,76.344096,3.072394,76.344096
19.333333,2.846859,100.753388,100.793600,3.128570,77.366628,3.128570,77.366628
19.500000,2.901027,102.081607,102.122820,3.187582,78.385409,3.187582,78.385409
19.666667,2.957366,103.414664,103.456942,3.249163,79.401844,3.249163,79.401844
19.833333,3.015762,104.753500,104.796902,3.313108,80.417110,3.313108,80.417110
20.000000,3.076116,106.098931,106.143515,3.379259,81.432185,3.379259,81.432185
20.166667,3.138427,107.451687,107.497511,3.447553,82.447935,3.447553,82.447935
20.333333,3.202658,108.812419,108.859540,3.517913,83.465078,3.517913,83.465078
20.500000,3.268806,110.181719,110.230197,3.590305,84.484251,3.590305,84.484251
20.666667,3.336888,111.560137,111.610031,3.664713,85.506014,3.664713,85.506014
20.833333,3.406930,112.948183,112.999554,3.741142,86.530868,3.741142,86.530868
21.000000,3.478970,114.346342,114.399254,3.819606,87.559263,3.819606,87.559263
21.166667,3.553053,115.755074,115.809591,3.900134,88.591611,3.900134,88.591611
21.333333,3.629171,117.174824,117.231012,3.982708,89.628265,3.982708,89.628265
21.500000,3.707503,118.606012,118.663944,4.067475,90.669612,4.067475,90.669612
21.666667,3.788062,120.049063,120.108813,4.154440,91.715961,4.154440,91.715961
21.833333,3.870919,121.504388,121.566033,4.243661,92.767616,4.243661,92.767616
22.000000,3.956156,122.972392,123.036012,4.335204,93.824869,4.335204,93.824869
22.166667,4.043858,124.453477,124.519158,4.429140,94.887994,4.429140,94.887994
22.333333,4.134118,125.948045,126.015876,4.525547,95.957258,4.525547,95.957258
22.500000,4.227032,127.456496,127.526570,4.624509,97.032916,4.624509,97.032916
22.666667,4.322705,128.979232,129.051649,4.726112,98.115217,4.726112,98.115217
22.833333,4.421248,130.516658,130.591521,4.830454,99.204402,4.830454,99.204402
23.000000,4.522777,132.069181,132.146601,4.937633,100.300708,4.937633,100.300708
23.166667,4.627416,133.637215,133.717307,5.047756,101.404369,5.047756,101.404369
23.333333,4.735297,135.221176,135.304063,5.160937,102.515613,5.160937,102.515613
23.500000,4.846558,136.821487,136.907299,5.277294,103.634668,5.277294,103.634668
23.666667,4.961346,138.438580,138.527453,5.396955,104.761759,5.396955,104.761759
23.833333,5.079815,140.072891,140.164972,5.520052,105.897110,5.520052,105.897110
24.000000,5.202132,141.724867,141.820309,5.646727,107.040945,5.646727,107.040945
24.166667,5.328468,143.394960,143.493928,5.777128,108.193487,5.777128,108.193487
24.333333,5.459008,145.083636,145.186302,5.911414,109.354958,5.911414,109.354958
24.500000,5.593947,146.791366,146.897915,6.049751,110.525583,6.049751,110.525583
24.666667,5.733490,148.518634,148.629262,6.192315,111.705585,6.192315,111.705585
24.833333,5.877857,150.265934,150.380851,6.339293,112.895189,6.339293,112.895189
25.000000,6.027278,152.033771,152.153198,6.490882,114.094622,6.490882,114.094622
25.166667,6.181999,153.822661,153.946836,6.647290,115.304109,6.647290,115.304109
25.333333,6.342279,155.633133,155.762308,6.808738,116.523879,6.808738,116.523879
25.500000,6.508395,157.465727,157.600172,6.975461,117.754161,6.975461,117.754161
25.666667,6.680640,159.320996,159.461001,7.147707,118.995184,7.147707,118.995184
25.833333,6.859325,161.199508,161.345380,7.325737,120.247179,7.325737,120.247179
26.000000,7.044780,163.101840,163.253910,7.509831,121.510378,7.509831,121.510378
26.166667,7.237358,165.028586,165.187208,7.700286,122.785012,7.700286,122.785012
26.333333,7.437429,166.980352,167.145905,7.897414,124.071313,7.897414,124.071313
26.500000,7.645394,168.957758,169.130648,8.101550,125.369512,8.101550,125.369512
26.666667,7.861673,170.961437,171.142101,8.313046,126.679839,8.313046,126.679839
26.833333,8.086717,172.992036,173.180944,8.532281,128.002523,8.532281,128.002523
27.000000,8.321006,175.050215,175.247872,8.759653,129.337789,8.759653,129.337789
27.166667,8.565049,177.136647,177.343598,8.995588,130.685862,8.995588,130.685862
27.333333,8.819390,179.252019,179.468850,9.240539,132.046957,9.240539,132.046957
27.500000,9.084609,181.397028,181.624371,9.494987,133.421289,9.494987,133.421289
27.666667,9.361324,183.572384,183.810921,9.759445,134.809061,9.759445,134.809061
27.833333,9.650195,185.778806,186.029274,10.034457,136.210469,10.034457,136.210469
28.000000,9.951923,188.017022,188.280220,10.320605,137.625699,10.320605,137.625699
28.166667,10.267260,190.287769,190.564560,10.618507,139.054920,10.618507,139.054920
28.333333,10.597004,192.591788,192.883108,10.928820,140.498289,10.928820,140.498289
28.500000,10.942010,194.929824,195.236687,11.252246,141.955941,11.252246,141.955941
28.666667,11.303187,197.302625,197.626131,11.589530,143.427987,11.589530,143.427987
28.833333,11.681507,199.710933,200.052279,11.941464,144.914515,11.941464,144.914515
29.000000,12.078005,202.155487,202.515973,12.308895,146.415577,12.308895,146.415577
29.166667,12.493785,204.637016,205.018055,12.692718,147.931191,12.692718,147.931191
29.333333,12.930023,207.156231,207.559364,13.093886,149.461331,13.093886,149.461331
29.500000,13.387973,209.713825,210.140730,13.513411,151.005921,13.513411,151.005921
29.666667,13.868966,212.310462,212.762968,13.952366,152.564825,13.952366,152.564825
29.833333,14.374420,214.946772,215.426876,14.411886,154.137844,14.411886,154.137844
30.000000,14.905841,217.623339,218.133221,14.893172,155.724699,14.893172,155.724699
30.166667,15.464824,220.340694,220.882734,15.397491,157.325024,15.397491,157.325024
30.333333,16.053061,223.099301,223.676103,15.926176,158.938351,15.926176,158.938351
