Freq.Sweep,POI 138 kV-ACE,POI 138 kV-ACE,POI 138 kV-ACE,POI 138 kV-ACE,POI 138 kV-ACE,POI 138 kV-ACE,POI 138 kV-ACE
"Rated Frequency","R, Re(Z) in Ohm","X, Im(Z) in Ohm","Z, Magnitude in Ohm","R1 in Ohm","X1 in Ohm","R2 in Ohm","X2 in Ohm"
1.500000,2.402022,32.181264,32.270784,2.476664,36.432654,2.476664,36.432654
1.666667,3.081579,39.240136,39.360950,3.356027,45.373317,3.356027,45.373317
1.833333,4.259155,48.904534,49.089651,4.944915,58.032363,4.944915,58.032363
2.000000,6.388516,63.570504,63.890705,7.906768,77.939848,7.906768,77.939848
2.166667,12.365699,89.659929,90.508637,16.557462,114.633117,16.557462,114.633117
2.333333,38.366052,152.296659,157.054851,55.111203,205.649724,55.111203,205.649724
2.500000,445.703917,225.897163,499.681409,665.458485,312.363813,665.458485,312.363813
2.666667,66.857091,-150.010644,164.234783,96.092886,-256.332583,96.092886,-256.332583
2.833333,19.621441,-60.062958,63.186707,23.317116,-128.242250,23.317116,-128.242250
3.000000,13.723001,-22.650074,26.482949,10.486309,-82.689689,10.486309,-82.689689
3.166667,17.813034,5.117651,18.533606,6.127387,-59.632153,6.127387,-59.632153
3.333333,44.770521,38.031503,58.743466,4.142768,-45.571674,4.142768,-45.571674
3.500000,144.373049,-26.775405,146.834940,3.076012,-35.981984,3.076012,-35.981984
3.666667,38.083247,-76.898297,85.811898,2.438118,-28.932928,2.438118,-28.932928
3.833333,12.662502,-48.946685,50.558055,2.027495,-23.465257,2.027495,-23.465257
4.000000,6.401384,-33.642494,34.246097,1.748675,-19.048921,1.748675,-19.048921
4.166667,4.035338,-24.187416,24.521726,1.551668,-15.367288,1.551668,-15.367288
4.333333,2.899607,-17.569702,17.807362,1.408224,-12.219567,1.408224,-12.219567
4.500000,2.269231,-12.537169,12.740880,1.301388,-9.472243,1.301388,-9.472243
4.666667,1.884341,-8.487407,8.694068,1.220479,-7.033056,1.220479,-7.033056
4.833333,1.633321,-5.094141,5.349580,1.158492,-4.836183,1.158492,-4.836183
5.000000,1.461731,-2.164187,2.611582,1.110678,-2.833380,1.110678,-2.833380
5.166667,1.340394,0.424859,1.406116,1.073723,-0.988463,1.073723,-0.988463
5.333333,1.252500,2.754753,3.026123,1.045254,0.726252,1.045254,0.726252
5.500000,1.187786,4.882447,5.024851,1.023542,2.332323,1.023542,2.332323
5.666667,1.139695,6.848992,6.943169,1.007295,3.846793,1.007295,3.846793
5.833333,1.103867,8.684826,8.754697,0.995539,5.283326,0.995539,5.283326
6.000000,1.077314,10.413061,10.468641,0.987523,6.653012,0.987523,6.653012
6.166667,1.057928,12.051607,12.097952,0.982665,7.964950,0.982665,7.964950
6.333333,1.044187,13.614589,13.654573,0.980506,9.226685,0.980506,9.226685
6.500000,1.034971,15.113320,15.148717,0.980683,10.444532,0.980683,10.444532
6.666667,1.029441,16.556983,16.588955,0.982903,11.623816,0.982903,11.623816
6.833333,1.026958,17.953122,17.982470,0.986931,12.769073,0.986931,12.769073
7.000000,1.027032,19.308007,19.335303,0.992575,13.884186,0.992575,13.884186
7.166667,1.029277,20.626898,20.652562,0.999679,14.972509,0.999679,14.972509
