Freq.Sweep,POI 138 kV-ACE,POI 138 kV-ACE,POI 138 kV-ACE,POI 138 kV-ACE,POI 138 kV-ACE,POI 138 kV-ACE,POI 138 kV-ACE
"Rated Frequency","R, Re(Z) in Ohm","X, Im(Z) in Ohm","Z, Magnitude in Ohm","R1 in Ohm","X1 in Ohm","R2 in Ohm","X2 in Ohm"
1.500000,2.159453,31.679174,31.752689,2.215966,34.038003,2.215966,34.038003
1.666667,2.568845,36.952845,37.042027,2.751770,40.423111,2.751770,40.423111
1.833333,3.181636,43.337867,43.454499,3.583009,48.433026,3.583009,48.433026
2.000000,4.016472,51.543851,51.700103,4.735138,59.125106,4.735138,59.125106
2.166667,5.802698,62.956020,63.222874,7.298917,74.568029,7.298917,74.568029
2.333333,9.769569,80.933529,81.521044,13.113927,99.788822,13.113927,99.788822
2.500000,21.960213,115.597082,117.664507,31.239057,149.953714,31.239057,149.953714
2.666667,98.456475,207.246173,229.444228,145.790606,285.494847,145.790606,285.494847
2.833333,279.292758,-183.258505,334.048087,416.805259,-302.343752,416.805259,-302.343752
3.000000,36.989898,-88.388277,95.816179,53.051163,-162.267707,53.051163,-162.267707
3.166667,14.034081,-37.798648,40.319886,18.229773,-88.835025,18.229773,-88.835025
3.333333,8.420921,-14.212481,16.519883,9.295275,-56.193494,9.295275,-56.193494
3.500000,6.547436,0.251552,6.552266,5.777453,-37.623089,5.777453,-37.623089
3.666667,6.073265,10.842146,12.427255,4.050691,-25.405160,4.050691,-25.405160
3.833333,6.453414,19.698185,20.728363,3.082054,-16.573868,3.082054,-16.573868
4.000000,7.725965,27.996921,29.043383,2.488377,-9.756847,2.488377,-9.756847
4.166667,10.449214,36.645286,38.105945,2.101236,-4.233888,2.101236,-4.233888
4.333333,16.325921,46.500008,49.282720,1.837250,0.408790,1.837250,0.408790
4.500000,30.564222,57.188021,64.843206,1.651326,4.425720,1.651326,4.425720
4.666667,64.230283,53.855496,83.820903,1.517350,7.982054,1.517350,7.982054
4.833333,72.239877,1.666193,72.259090,1.419361,11.189649,1.419361,11.189649
5.000000,33.551332,-10.867696,35.267530,1.347152,14.126982,1.347152,14.126982
5.166667,15.705840,-0.094320,15.706123,1.293956,16.850766,1.293956,16.850766
5.333333,8.804590,9.594140,13.021841,1.255142,19.403026,1.255142,19.403026
5.500000,5.683854,16.926718,17.855531,1.227456,21.815586,1.227456,21.815586
5.666667,4.062985,22.679165,23.040234,1.208560,24.113006,1.208560,24.113006
5.833333,3.131809,27.422700,27.600954,1.196737,26.314558,1.196737,26.314558
6.000000,2.556513,31.500038,31.603610,1.190708,28.435590,1.190708,28.435590
6.166667,2.181779,35.118501,35.186209,1.189502,30.488490,1.189502,30.488490
6.333333,1.928119,38.408613,38.456978,1.192374,32.483376,1.192374,32.483376
6.500000,1.751670,41.456122,41.493113,1.198748,34.428608,1.198748,34.428608
6.666667,1.626718,44.319604,44.349447,1.208168,36.331156,1.208168,36.331156
6.833333,1.537425,47.040462,47.065579,1.220275,38.196891,1.220275,38.196891
7.000000,1.473624,49.648855,49.670719,1.234785,40.030801,1.234785,40.030801
7.166667,1.428559,52.167325,52.186881,1.251467,41.837155,1.251467,41.837155
7.333333,1.397609,54.613114,54.630994,1.270137,43.619638,1.270137,43.619638
7.500000,1.377529,56.999676,57.016319,1.290648,45.381453,1.290648,45.381453
7.666667,1.365993,59.337703,59.353424,1.312879,47.125404,1.312879,47.125404
7.833333,1.361298,61.635828,61.650859,1.336735,48.853958,1.336735,48.853958
8.000000,1.362181,63.901125,63.915642,1.362139,50.569307,1.362139,50.569307
8.166667,1.360962,66.139482,66.153483,1.378939,52.273421,1.378939,52.273421
8.333333,1.377097,68.355808,68.369679,1.417363,53.968008,1.417363,53.968008
8.500000,1.389844,70.554340,70.568028,1.447103,55.654699,1.447103,55.654699
8.666667,1.405495,72.738682,72.752259,1.478224,57.334919,1.478224,57.334919
8.833333,1.423710,74.911976,74.925504,1.510711,59.009986,1.510711,59.009986
9.000000,1.444225,77.076981,77.090510,1.544557,60.681111,1.544557,60.681111
9.166667,1.466828,79.236140,79.249715,1.579761,62.349415,1.579761,62.349415
9.333333,1.491356,81.391636,81.405298,1.616330,64.015942,1.616330,64.015942
9.500000,1.517683,83.545442,83.559226,1.654279,65.681670,1.654279,65.681670
9.666667,1.545710,85.699351,85.713289,1.693627,67.347523,1.693627,67.347523
9.833333,1.575365,87.855009,87.869133,1.734400,69.014376,1.734400,69.014376
10.000000,1.606595,90.013942,90.028278,1.776633,70.683066,1.776633,70.683066
10.166667,1.639368,92.177571,92.192148,1.820367,72.354401,1.820367,72.354401
10.333333,1.673664,94.347238,94.362082,1.865648,74.029163,1.865648,74.029163
10.500000,1.709482,96.524213,96.539350,1.912534,75.708118,1.912534,75.708118
10.666667,1.746830,98.709714,98.725170,1.961092,77.392020,1.961092,77.392020
10.833333,1.785732,100.904917,100.920717,2.011397,79.081620,2.011397,79.081620
11.000000,1.826227,103.110965,103.127137,2.063539,80.777670,2.063539,80.777670
11.166667,1.868363,105.328983,105.345552,2.117620,82.480935,2.117620,82.480935
11.333333,1.912208,107.560083,107.577079,2.173761,84.192195,2.173761,84.192195
11.500000,1.957843,109.805377,109.822830,2.232102,85.912258,2.232102,85.912258
11.666667,2.005371,112.065990,112.083931,2.292808,87.641971,2.292808,87.641971
11.833333,2.054916,114.343065,114.361529,2.356071,89.382227,2.356071,89.382227
