Freq.Sweep,POI 230kV FirstEnergy,POI 230kV FirstEnergy,POI 230kV FirstEnergy,POI 230kV FirstEnergy,POI 230kV FirstEnergy,POI 230kV FirstEnergy,POI 230kV FirstEnergy,POI 230kV FirstEnergy,POI 230kV FirstEnergy,POI 230kV FirstEnergy
"Rated Frequency","R, Re(Z) in Ohm","X, Im(Z) in Ohm","Z, Magnitude in Ohm","R1 in Ohm","X1 in Ohm","R2 in Ohm","X2 in Ohm","Z1 in Ohm","Z2 in Ohm","Z0 in Ohm"
1.500000,10.703369,52.572146,53.650654,8.056101,57.108458,8.056101,57.108458,57.673882,57.673882,46.347710
1.666667,13.877434,64.614509,66.087956,11.608574,72.896206,11.608574,72.896206,73.814740,73.814740,51.459756
1.833333,19.775013,82.656218,84.988832,18.960233,97.491545,18.960233,97.491545,99.318134,99.318134,57.146594
2.000000,33.545140,114.628428,119.435978,37.717830,142.772094,37.717830,142.772094,147.670260,147.670260,63.550682
2.166667,93.916199,184.373952,206.915458,125.798919,244.491580,125.798919,244.491580,274.957271,274.957271,70.867495
2.333333,408.325501,-15.507539,408.619871,594.074232,-58.434728,594.074232,-58.434728,596.941212,596.941212,79.357413
2.500000,82.870212,-119.738116,145.618297,101.314644,-217.907680,101.314644,-217.907680,240.308997,240.308997,89.346787
2.666667,40.044950,-53.462629,66.797086,30.624774,-121.327205,30.624774,-121.327205,125.132600,125.132600,101.175563
2.833333,35.615217,-23.932090,42.909073,14.859485,-78.516966,14.859485,-78.516966,79.910689,79.910689,114.955919
3.000000,39.987927,-9.665435,41.139457,9.209853,-54.904784,9.209853,-54.904784,55.671867,55.671867,129.777264
3.166667,47.111629,-6.134103,47.509292,6.646408,-39.747250,6.646408,-39.747250,40.299114,40.299114,141.866168
3.333333,50.742992,-11.762482,52.088456,5.320209,-28.998333,5.320209,-28.998333,29.482333,29.482333,143.389862
3.500000,45.594484,-19.798884,49.707673,4.582440,-20.826599,4.582440,-20.826599,21.324774,21.324774,128.833979
3.666667,34.962533,-22.453220,41.551483,4.159780,-14.287966,4.159780,-14.287966,14.881187,14.881187,104.050871
3.833333,25.123492,-19.495766,31.800546,3.921619,-8.847564,3.921619,-8.847564,9.677731,9.677731,78.876871
4.000000,18.184196,-14.069524,22.991661,3.799543,-4.179922,3.799543,-4.179922,5.648741,5.648741,57.867493
4.166667,13.695236,-8.188492,15.956531,3.755159,-0.075597,3.755159,-0.075597,3.755920,3.755920,41.499221
4.333333,10.834883,-2.612103,11.145303,3.765775,3.606409,3.765775,3.606409,5.214140,5.214140,29.144124
4.500000,8.999071,2.472294,9.332497,3.817456,6.964620,3.817456,6.964620,7.942223,7.942223,20.417899
4.666667,7.810464,7.076229,10.539277,3.901422,10.070081,3.901422,10.070081,10.799427,10.799427,15.661434
4.833333,7.040966,11.265869,13.285142,4.012084,12.975431,4.012084,12.975431,13.581555,13.581555,15.271003
5.000000,6.551643,15.113252,16.472231,4.145913,15.720611,4.145913,15.720611,16.258112,16.258112,17.958782
5.166667,6.256106,18.682004,19.701678,4.300765,18.336580,4.300765,18.336580,18.834191,18.834191,21.887068
5.333333,6.099364,22.024703,22.853660,4.475484,20.847801,4.475484,20.847801,21.322776,21.322776,26.118490
5.500000,6.045646,25.183832,25.899328,4.669639,23.273957,4.669639,23.273957,23.737789,23.737789,30.318428
5.666667,6.071277,28.193555,28.839850,4.883373,25.631150,4.883373,25.631150,26.092206,26.092206,34.382542
5.833333,6.160412,31.081455,31.686078,5.117305,27.932769,5.117305,27.932769,28.397648,28.397648,38.287824
6.000000,6.302433,33.869971,34.451351,5.372481,30.190116,5.372481,30.190116,30.664420,30.664420,42.039943
6.166667,6.490311,36.577539,37.148896,5.650345,32.412879,5.650345,32.412879,32.901689,32.901689,45.654037
6.333333,6.719577,39.219471,39.790949,5.952742,34.609479,5.952742,34.609479,35.117677,35.117677,49.147421
6.500000,6.987644,41.808626,42.388540,6.281935,36.787340,6.281935,36.787340,37.319848,37.319848,52.536831
6.666667,7.293386,44.355923,44.951544,6.640642,38.953088,6.640642,38.953088,39.515075,39.515075,55.837452
6.833333,7.636850,46.870731,47.488808,7.032081,41.112710,7.032081,41.112710,41.709772,41.709772,59.062689
7.000000,8.019100,49.361166,50.008306,7.460048,43.271666,7.460048,43.271666,43.910014,43.910014,62.224221
7.166667,8.442117,51.834312,52.517285,7.928998,45.434967,7.928998,45.434967,46.121635,46.121635,65.332160
7.333333,8.908768,54.296385,55.022391,8.444156,47.607231,8.444156,47.607231,48.350307,48.350307,68.395235
7.500000,9.422820,56.752842,57.529772,9.011655,49.792693,9.011655,49.792693,50.601603,50.601603,71.420965
7.666667,9.988993,59.208450,60.045154,9.638698,51.995192,9.638698,51.995192,52.881041,52.881041,74.415808
7.833333,10.613054,61.667297,62.573896,10.333759,54.218111,10.333759,54.218111,55.194113,55.194113,77.385288
8.000000,11.301946,64.132767,65.121009,11.106821,56.464261,11.106821,56.464261,57.546279,57.546279,80.334091
8.166667,12.057495,66.607605,67.690148,11.959978,58.735941,11.959978,58.735941,59.941237,59.941237,83.266140
8.333333,12.908925,69.092932,70.288502,12.936230,61.033431,12.936230,61.033431,62.389308,62.389308,86.184648
8.500000,13.848494,71.589621,72.916765,14.022962,63.357027,14.022962,63.357027,64.890341,64.890341,89.092147
8.666667,14.896393,74.096256,75.578817,15.249312,65.703981,15.249312,65.703981,67.450387,67.450387,91.990502
8.833333,16.068742,76.609375,78.276438,16.638193,68.068867,16.638193,68.068867,70.072820,70.072820,94.880907
9.000000,17.384364,79.122483,81.009773,18.216467,70.442106,18.216467,70.442106,72.759397,72.759397,97.763861
9.166667,18.865021,81.624891,83.776559,20.015340,72.808251,20.015340,72.808251,75.509306,75.509306,100.639131
9.333333,20.535496,84.100112,86.570985,22.070513,75.143606,22.070513,75.143606,78.317744,78.317744,103.505698
9.500000,22.423308,86.523683,89.382059,24.421805,77.412983,24.421805,77.412983,81.173853,81.173853,106.361687
9.666667,24.557747,88.860281,92.191282,27.111756,79.565427,27.111756,79.565427,84.057745,84.057745,109.204291
9.833333,26.967686,91.060112,94.969469,30.182427,81.528820,30.182427,81.528820,86.936341,86.936341,112.029674
