Freq.Sweep,POI 230kV FirstEnergy,POI 230kV FirstEnergy,POI 230kV FirstEnergy,POI 230kV FirstEnergy,POI 230kV FirstEnergy,POI 230kV FirstEnergy,POI 230kV FirstEnergy,POI 230kV FirstEnergy,POI 230kV FirstEnergy,POI 230kV FirstEnergy
"Rated Frequency","R, Re(Z) in Ohm","X, Im(Z) in Ohm","Z, Magnitude in Ohm","R1 in Ohm","X1 in Ohm","R2 in Ohm","X2 in Ohm","Z1 in Ohm","Z2 in Ohm","Z0 in Ohm"
1.500000,11.203118,63.491386,64.472210,8.159469,65.712997,8.159469,65.712997,66.217633,66.217633,61.528714
1.666667,14.455656,76.798212,78.146857,11.733468,82.530843,11.733468,82.530843,83.360748,83.360748,68.298621
1.833333,20.470048,96.154595,98.309354,19.130073,108.221723,19.130073,108.221723,109.899505,109.899505,75.651772
2.000000,34.441046,129.550281,134.050218,38.011431,154.755658,38.011431,154.755658,159.355522,159.355522,83.716975
2.166667,95.433509,201.025327,222.528058,126.779842,258.192662,126.779842,258.192662,287.639669,287.639669,92.663648
2.333333,411.825850,-0.000653,411.825850,597.688329,-47.297981,597.688329,-47.297981,599.556868,599.556868,102.698355
2.500000,84.627810,-102.639342,133.028947,101.838652,-205.146473,101.838652,-205.146473,229.033155,229.033155,114.031279
2.666667,42.069560,-35.041782,54.751935,30.906405,-107.140650,30.906405,-107.140650,111.509303,111.509303,126.743944
2.833333,38.102350,-4.658790,38.386109,15.077078,-63.159542,15.077078,-63.159542,64.934167,64.934167,140.371981
3.000000,42.785870,9.873349,43.910291,9.406646,-38.461970,9.406646,-38.461970,39.595557,39.595557,152.814988
3.166667,49.347745,13.205289,51.084044,6.838176,-22.255047,6.838176,-22.255047,23.281919,23.281919,158.528268
3.333333,51.119221,8.150266,51.764869,5.514428,-10.473056,5.514428,-10.473056,11.836123,11.836123,149.387652
3.500000,44.367049,2.464995,44.435472,4.783420,-1.275125,4.783420,-1.275125,4.950459,4.950459,123.925011
3.666667,33.622254,2.512025,33.715964,4.370437,6.288009,4.370437,6.288009,7.657661,7.657661,92.253368
3.833333,24.314988,7.452069,25.431319,4.144198,12.754383,4.144198,12.754383,13.410767,13.410767,64.723971
4.000000,17.842171,14.359415,22.902747,4.035951,18.451592,4.035951,18.451592,18.887830,18.887830,45.866185
4.166667,13.641878,21.546076,25.501651,4.007143,23.590616,4.007143,23.590616,23.928526,23.928526,37.254753
4.333333,10.947463,28.396657,30.433814,4.035018,28.313650,4.035018,28.313650,28.599723,28.599723,37.814731
4.500000,9.209375,34.769382,35.968354,4.105640,32.720205,4.105640,32.720205,32.976781,32.976781,43.457187
4.666667,8.083027,40.686739,41.481877,4.210270,36.882184,4.210270,36.882184,37.121717,37.121717,50.834343
4.833333,7.358007,46.215771,46.797839,4.343393,40.853003,4.343393,40.853003,41.083244,41.083244,58.505256
5.000000,6.904782,51.427150,51.888609,4.501579,44.673331,4.501579,44.673331,44.899563,44.899563,65.994027
5.166667,6.642038,56.383129,56.773004,4.682810,48.374826,4.682810,48.374826,48.600952,48.600952,73.177520
5.333333,6.517620,61.135409,61.481848,4.886077,51.982640,4.886077,51.982640,52.211767,52.211767,80.052354
5.500000,6.497422,65.726099,66.046473,5.111126,55.517140,5.111126,55.517140,55.751919,55.751919,86.652816
5.666667,6.558815,70.189401,70.495178,5.358302,58.995122,5.358302,58.995122,59.237959,59.237959,93.021842
5.833333,6.686678,74.553245,74.852508,5.628458,62.430681,5.628458,62.430681,62.683885,62.683885,99.200953
6.000000,6.870952,78.840649,79.139484,5.922907,65.835847,5.922907,65.835847,66.101737,66.101737,105.227156
6.166667,7.105100,83.070806,83.374105,6.243403,69.221059,6.243403,69.221059,69.502051,69.502051,111.132424
6.333333,7.385122,87.259924,87.571881,6.592147,72.595520,6.592147,72.595520,72.894210,72.894210,116.944078
6.500000,7.708922,91.421869,91.746311,6.971813,75.967467,6.971813,75.967467,76.286711,76.286711,122.685433
6.666667,8.075903,95.568665,95.909280,7.385593,79.344382,7.385593,79.344382,79.687376,79.687376,128.376455
6.833333,8.486705,99.710872,100.071385,7.837261,82.733144,7.837261,82.733144,83.103524,83.103524,134.034340
7.000000,8.943063,103.857873,104.242200,8.331255,86.140151,8.331255,86.140151,86.542102,86.542102,139.674014
7.166667,9.447724,108.018095,108.430477,8.872784,89.571401,8.872784,89.571401,90.009789,90.009789,145.308527
7.333333,10.004441,112.199163,112.644312,9.467959,93.032541,9.467959,93.032541,93.513079,93.513079,150.949378
7.500000,10.618006,116.408011,116.891261,10.123956,96.528888,10.123956,96.528888,97.058337,97.058337,156.606772
7.666667,11.294330,120.650935,121.178422,10.849214,100.065401,10.849214,100.065401,100.651825,100.651825,162.289817
7.833333,12.040566,124.933611,125.512479,11.653671,103.646620,11.653671,103.646620,104.299712,104.299712,168.006678
8.000000,12.865282,129.261042,129.899702,12.549064,107.276532,12.549064,107.276532,108.008024,108.008024,173.764692
8.166667,13.764801,133.637780,134.344803,13.528464,110.958864,13.528464,110.958864,111.780539,111.780539,179.570444
8.333333,14.792819,138.066068,138.856280,14.670729,114.694268,14.670729,114.694268,115.628740,115.628740,185.429826
8.500000,15.922011,142.548849,143.435299,15.932923,118.484828,15.932923,118.484828,119.551297,119.551297,191.348055
8.666667,17.183103,147.085982,148.086276,17.358937,122.328382,17.358937,122.328382,123.553898,123.553898,197.329671
8.833333,18.595913,151.675220,152.810930,18.976073,126.220011,18.976073,126.220011,127.638483,127.638483,203.378517
9.000000,20.183626,156.310913,157.608630,20.816464,130.150117,20.816464,130.150117,131.804317,131.804317,209.497688
9.166667,21.973137,160.982635,162.475314,22.917622,134.102405,22.917622,134.102405,136.046581,136.046581,215.689457
9.333333,23.995219,165.673278,167.401928,25.322712,138.051075,25.322712,138.051075,140.354334,140.354334,221.955183
9.500000,26.284280,170.356445,172.372219,28.080247,141.956973,28.080247,141.956973,144.707575,144.707575,228.295192
9.666667,28.877338,174.992988,177.359653,31.242605,145.762465,31.242605,145.762465,149.073124,149.073124,234.708638
9.833333,31.811570,179.526612,182.323286,34.862444,149.384918,34.862444,149.384918,153.398969,153.398969,241.193345
10.000000,35.119458,183.878723,187.202460,38.985538,152.709055,38.985538,152.709055,157.606877,157.606877,247.745640
10.166667,38.820186,187.943300,191.910633,43.638019,155.579331,43.638019,155.579331,161.583431,161.583431,254.360172
10.333333,42.905723,191.583718,196.329372,48.805700,157.795231,48.805700,157.795231,165.170613,165.170613,261.029753
10.500000,47.320658,194.635366,200.305193,54.404052,159.115225,54.404052,159.115225,168.159019,168.159019,267.745216
10.666667,51.937211,196.920160,203.654176,60.241012,159.278547,60.241012,159.278547,170.289856,170.289856,274.495331
10.833333,56.532396,198.280118,206.181757,65.983049,158.055477,65.983049,158.055477,171.275499,171.275499,281.266813
11.000000,60.782480,198.632998,207.724765,71.147228,155.330649,71.147228,155.330649,170.849462,170.849462,288.044456
