Freq.Sweep,POI 230kV FirstEnergy,POI 230kV FirstEnergy,POI 230kV FirstEnergy,POI 230kV FirstEnergy,POI 230kV FirstEnergy,POI 230kV FirstEnergy,POI 230kV FirstEnergy,POI 230kV FirstEnergy,POI 230kV FirstEnergy,POI 230kV FirstEnergy
"Rated Frequency","R, Re(Z) in Ohm","X, Im(Z) in Ohm","Z, Magnitude in Ohm","R1 in Ohm","X1 in Ohm","R2 in Ohm","X2 in Ohm","Z1 in Ohm","Z2 in Ohm","Z0 in Ohm"
1.500000,9.950214,53.962907,54.872598,9.906894,63.087906,9.906894,63.087906,63.861025,63.861025,37.094517
1.666667,21.751136,82.776342,85.586416,26.438590,103.792378,26.438590,103.792378,107.106754,107.106754,42.579839
1.833333,134.143235,158.080399,207.325397,193.305797,213.798659,193.305797,213.798659,288.230806,288.230806,49.251297
2.000000,72.634959,-99.029987,122.811953,98.279018,-175.364344,98.279018,-175.364344,201.025915,201.025915,57.724995
2.166667,22.525430,-31.143638,38.435936,18.434949,-77.629152,18.434949,-77.629152,79.788048,79.788048,69.036960
2.333333,21.259019,-6.563545,22.249180,7.806897,-44.695032,7.806897,-44.695032,45.371726,45.371726,84.723402
2.500000,29.867576,3.481797,30.069835,4.621362,-28.551313,4.621362,-28.551313,28.922905,28.922905,104.976382
2.666667,39.907955,-3.604448,40.070399,3.290917,-18.705162,3.290917,-18.705162,18.992452,18.992452,116.218042
2.833333,31.127361,-16.941314,35.438972,2.632185,-11.869266,2.632185,-11.869266,12.157626,12.157626,92.174029
3.000000,17.152745,-15.466769,23.096268,2.276308,-6.699470,2.276308,-6.699470,7.075625,7.075625,57.338629
3.166667,9.805680,-8.902687,13.244213,2.089497,-2.545721,2.089497,-2.545721,3.293432,3.293432,33.217472
3.333333,6.373310,-2.821380,6.969883,1.995321,0.872399,1.995321,0.872399,2.177702,2.177702,18.240027
3.500000,4.627749,2.241092,5.141844,1.891374,3.887658,1.891374,3.887658,4.323329,4.323329,10.147374
3.666667,3.693236,6.457104,7.438695,1.857552,6.575926,1.857552,6.575926,6.833250,6.833250,9.640610
3.833333,3.160531,10.077832,10.561802,1.853175,9.012170,1.853175,9.012170,9.200732,9.200732,13.511829
4.000000,2.855005,13.267604,13.571307,1.867913,11.258106,1.867913,11.258106,11.412013,11.412013,17.955478
4.166667,2.682276,16.141043,16.362392,1.896872,13.356596,1.896872,13.356596,13.490619,13.490619,22.130067
4.333333,2.592268,18.778369,18.956450,1.937128,15.338683,1.937128,15.338683,15.460519,15.460519,25.960418
4.500000,2.556758,21.235761,21.389122,1.986816,17.227542,1.986816,17.227542,17.341731,17.341731,29.492431
4.666667,2.558972,23.553493,23.692095,2.044725,19.040904,2.044725,19.040904,19.150377,19.150377,32.783114
4.833333,2.588534,25.761159,25.890883,2.110079,20.792612,2.110079,20.792612,20.899406,20.899406,35.881309
5.000000,2.638831,27.881017,28.005616,2.182409,22.493672,2.182409,22.493672,22.599296,22.599296,38.825843
5.166667,2.705561,29.930156,30.052193,2.261468,24.152977,2.261468,24.152977,24.258618,24.258618,41.647082
5.333333,2.785901,31.921953,32.043289,2.347181,25.777824,2.347181,25.777824,25.884464,25.884464,44.368804
5.500000,2.878003,33.867062,33.989127,2.439611,27.374285,2.439611,27.374285,27.482780,27.482780,47.009785
