Freq.Sweep,POI 230kV FirstEnergy,POI 230kV FirstEnergy,POI 230kV FirstEnergy,POI 230kV FirstEnergy,POI 230kV FirstEnergy,POI 230kV FirstEnergy,POI 230kV FirstEnergy,POI 230kV FirstEnergy,POI 230kV FirstEnergy,POI 230kV FirstEnergy
"Rated Frequency","R, Re(Z) in Ohm","X, Im(Z) in Ohm","Z, Magnitude in Ohm","R1 in Ohm","X1 in Ohm","R2 in Ohm","X2 in Ohm","Z1 in Ohm","Z2 in Ohm","Z0 in Ohm"
1.500000,13.191014,66.255726,67.556081,13.387839,77.388535,13.387839,77.388535,78.538014,78.538014,45.811368
1.666667,40.507649,116.448680,123.293003,51.864171,148.279754,51.864171,148.279754,157.088439,157.088439,55.704004
1.833333,286.338347,-66.238777,293.900025,415.734419,-131.779652,415.734419,-131.779652,436.120378,436.120378,70.327818
2.000000,39.629287,-49.931186,63.746402,34.333114,-114.996122,34.333114,-114.996122,120.011961,120.011961,94.623761
2.166667,43.835282,-12.705888,45.639583,10.651359,-58.908840,10.651359,-58.908840,59.864036,59.864036,135.996408
2.333333,50.459952,-33.727983,60.694181,5.519947,-36.306491,5.519947,-36.306491,36.723713,36.723713,143.202168
2.500000,20.541111,-34.617726,40.253251,3.660063,-23.841069,3.660063,-23.841069,24.120378,24.120378,78.111439
2.666667,9.000769,-21.140037,22.976401,2.806213,-15.692880,2.806213,-15.692880,15.941811,15.941811,38.504032
2.833333,5.308105,-11.035193,12.245467,2.364101,-9.770359,2.364101,-9.770359,10.052308,10.052308,17.574247
3.000000,4.166772,-3.470488,5.422756,2.132080,-5.136776,2.132080,-5.136776,5.561676,5.561676,8.228384
3.166667,4.804898,2.664607,5.494286,2.091141,-1.327934,2.091141,-1.327934,2.477151,2.477151,14.770849
3.333333,7.581472,5.449747,9.336941,1.980827,1.698598,1.980827,1.698598,2.609389,2.609389,22.814667
3.500000,5.943984,5.355587,8.000829,1.860825,4.574409,1.860825,4.574409,4.938409,4.938409,15.712998
3.666667,3.839136,8.548180,9.370718,1.835473,7.147737,1.835473,7.147737,7.379641,7.379641,13.801414
3.833333,3.043554,11.879444,12.263132,1.839730,9.493272,1.839730,9.493272,9.669893,9.669893,17.528081
4.000000,2.719463,14.848850,15.095821,1.861354,11.667389,1.861354,11.667389,11.814931,11.814931,21.678076
4.166667,2.582178,17.530527,17.719679,1.895588,13.708360,1.895588,13.708360,13.838800,13.838800,25.491380
4.333333,2.534593,20.003411,20.163348,1.939868,15.643775,1.939868,15.643775,15.763591,15.763591,28.970804
4.500000,2.537037,22.321573,22.465288,1.992640,17.494279,1.992640,17.494279,17.607396,17.607396,32.188720
4.666667,2.570769,24.521838,24.656225,2.052928,19.275739,2.052928,19.275739,19.384753,19.384753,35.206831
4.833333,2.625960,26.630208,26.759365,2.120129,21.000616,2.120129,21.000616,21.107364,21.107364,38.071046
5.000000,2.697073,28.665724,28.792324,2.193898,22.678875,2.193898,22.678875,22.784744,22.784744,40.815134
5.166667,2.780842,30.642783,30.768705,2.274079,24.318615,2.274079,24.318615,24.424710,24.424710,43.464276
5.333333,2.875302,32.572563,32.699223,2.360662,25.926520,2.360662,25.926520,26.033770,26.033770,46.037619
5.500000,2.979283,34.463941,34.592475,2.453759,27.508183,2.453759,27.508183,27.617405,27.617405,48.550002
5.666667,3.092130,36.324105,36.455478,2.553584,29.068341,2.553584,29.068341,29.180289,29.180289,51.013135
5.833333,3.213541,38.158975,38.294049,2.660443,30.611064,2.660443,30.611064,30.726458,30.726458,53.436408
6.000000,3.343470,39.973502,40.113086,2.774732,32.139888,2.774732,32.139888,32.259441,32.259441,55.827461
6.166667,3.482065,41.771887,41.916766,2.896938,33.657919,2.896938,33.657919,33.782359,33.782359,58.192587
6.333333,3.629638,43.557734,43.708700,3.027635,35.167921,3.027635,35.167921,35.298007,35.298007,60.537031
6.500000,3.786637,45.334177,45.492045,3.167495,36.672380,3.167495,36.672380,36.808918,36.808918,62.865202
6.666667,3.953638,47.103965,47.269596,3.317296,38.173551,3.317296,38.173551,38.317417,38.317417,65.180843
6.833333,4.131342,48.869536,49.043853,3.477930,39.673507,3.477930,39.673507,39.825660,39.825660,67.487144
7.000000,4.320572,50.633069,50.817074,3.650421,41.174166,3.650421,41.174166,41.335669,41.335669,69.786846
7.166667,4.522283,52.396525,52.591320,3.835936,42.677318,3.835936,42.677318,42.849363,42.849363,72.082300
7.333333,4.737569,54.161678,54.368483,4.035812,44.184646,4.035812,44.184646,44.368578,44.368578,74.375529
7.500000,4.967679,55.930139,56.150318,4.251577,45.697736,4.251577,45.697736,45.895087,45.895087,76.668265
7.666667,5.214032,57.703367,57.938457,4.484982,47.218090,4.484982,47.218090,47.430613,47.430613,78.961980
7.833333,5.478239,59.482687,59.734422,4.738031,48.747124,4.738031,48.747124,48.976842,48.976842,81.257905
8.000000,5.762129,61.269280,61.539636,5.013030,50.286166,5.013030,50.286166,50.535422,50.535422,83.557048
8.166667,6.061440,63.064248,63.354877,5.303122,51.836536,5.303122,51.836536,52.107097,52.107097,85.860197
8.333333,6.397559,64.868285,65.182998,5.639898,53.399055,5.639898,53.399055,53.696066,53.696066,88.167927
8.500000,6.754158,66.682276,67.023463,5.998362,54.974950,5.998362,54.974950,55.301225,55.301225,90.480594
8.666667,7.140651,68.506638,68.877778,6.392122,56.564860,6.392122,56.564860,56.924886,56.924886,92.798332
8.833333,7.560553,70.341576,70.746726,6.825926,58.169232,6.825926,58.169232,58.568360,58.568360,95.121038
9.000000,8.017884,72.186949,72.630862,7.305292,59.788124,7.305292,59.788124,60.232774,60.232774,97.448365
9.166667,8.517251,74.042168,74.530438,7.836632,61.421056,7.836632,61.421056,61.918971,61.918971,99.779701
9.333333,9.063929,75.906052,76.445298,8.427393,63.066811,8.427393,63.066811,63.627381,63.627381,102.114149
9.500000,9.663957,77.776642,78.374729,9.086221,64.723153,9.086221,64.723153,65.357830,65.357830,104.450511
9.666667,10.324227,79.650939,80.317257,9.823111,66.386449,9.823111,66.386449,67.109270,67.109270,106.787269
9.833333,11.052563,81.524551,82.270357,10.649562,68.051147,10.649562,68.051147,68.879400,68.879400,109.122559
10.000000,11.857765,83.391227,84.230062,11.578670,69.709073,11.578670,69.709073,70.664139,70.664139,111.454163
10.166667,12.749584,85.242218,86.190415,12.625129,71.348477,12.625129,71.348477,72.456877,72.456877,113.779499
10.333333,13.738554,87.065442,88.142720,13.805024,72.952772,13.805024,72.952772,74.247462,74.247462,116.095617
10.500000,14.835576,88.844403,90.074537,15.135257,74.498893,15.135257,74.498893,76.020794,76.020794,118.399219
10.666667,16.051091,90.556828,91.968345,16.632354,75.955228,16.632354,75.955228,77.754948,77.754948,120.686688
10.833333,17.393561,92.173050,93.799825,18.310244,77.279156,18.310244,77.279156,79.418719,79.418719,122.954147
11.000000,18.866887,93.654286,95.535777,20.176436,78.414397,20.176436,78.414397,80.968551,80.968551,125.197541
11.166667,20.466267,94.951171,97.131833,22.225859,79.288753,22.225859,79.288753,82.344976,82.344976,127.412760
11.333333,22.171950,96.003389,98.530432,24.431523,79.813443,24.431523,79.813443,83.469067,83.469067,129.595801
11.500000,23.940547,96.741855,99.660104,26.731506,79.886287,26.731506,79.886287,84.240087,84.240087,131.742961
11.666667,25.694302,97.095831,100.438029,29.012858,79.402231,29.012858,79.402231,84.536739,84.536739,133.851085
11.833333,27.310387,97.008006,100.779018,31.095509,78.275838,31.095509,78.275838,84.226110,84.226110,135.917834
12.000000,28.615147,96.460448,100.615330,32.723548,76.480076,32.723548,76.480076,83.186733,83.186733,137.941985
12.166667,29.392011,95.512098,99.932233,33.576990,74.102428,33.576990,74.102428,81.354681,81.354681,139.923725
12.333333,29.416071,94.342816,98.822427,33.323472,71.410846,33.323472,71.410846,78.803316,78.803316,141.864931
12.500000,28.531412,93.286127,97.551745,31.734057,68.902805,31.734057,68.902805,75.859390,75.859390,143.769394
12.666667,26.778313,92.805143,96.591265,28.873813,67.269164,28.873813,67.269164,73.204081,73.204081,145.642958
12.833333,24.517150,93.337127,96.503419,25.287419,67.161050,25.287419,67.161050,71.763920,71.763920,147.493547
13.000000,22.378342,95.011093,97.610952,21.923865,68.766366,21.923865,68.766366,72.176651,72.176651,149.331063
13.166667,20.929339,97.495304,99.716456,19.636723,71.581225,19.636723,71.581225,74.225822,74.225822,151.167132
13.333333,20.349659,100.223788,102.268843,18.696559,74.749944,18.696559,74.749944,77.052679,77.052679,153.014724
13.500000,20.462811,102.749169,104.766971,18.838746,77.594564,18.838746,77.594564,79.848699,79.848699,154.887663
13.666667,20.967405,104.862114,106.937809,19.610116,79.794306,19.610116,79.794306,82.168656,82.168656,156.800072
13.833333,21.580980,106.529560,108.693541,20.584792,81.293170,20.584792,81.293170,83.858888,83.858888,158.765798
14.000000,22.079515,107.828683,110.066025,21.423599,82.201119,21.423599,82.201119,84.947011,84.947011,160.797878
14.166667,22.316716,108.911362,111.174280,21.903190,82.740950,21.903190,82.740950,85.590972,85.590972,162.908084
14.333333,22.244386,109.965020,112.192328,21.946825,83.189651,21.946825,83.189651,86.035929,86.035929,165.106592
14.500000,21.913495,111.163560,113.302861,21.626203,83.804850,21.626203,83.804850,86.550249,86.550249,167.401770
14.666667,21.453797,112.629440,114.654508,21.131105,84.767913,21.131105,84.767913,87.362021,87.362021,169.800119
14.833333,21.056912,114.410720,116.332310,20.744202,86.149437,20.744202,86.149437,88.611779,88.611779,172.306316
15.000000,20.976438,116.430608,118.305103,20.841377,87.833473,20.841377,87.833473,90.272266,90.272266,174.923366
15.166667,21.452803,118.332203,120.261104,21.779112,89.284515,21.779112,89.284515,91.902418,91.902418,177.652813
15.333333,22.237040,119.412391,121.465243,23.180211,89.448207,23.180211,89.448207,92.402943,92.402943,180.494996
15.500000,22.199138,119.619824,121.662254,23.346355,88.248208,23.346355,88.248208,91.284164,91.284164,183.449313
15.666667,20.964701,120.178106,121.993016,21.713146,87.520870,21.713146,87.520870,90.174072,90.174072,186.514481
15.833333,19.386459,121.654281,123.189281,19.557349,88.117807,19.557349,88.117807,90.262051,90.262051,189.688771
16.000000,18.004239,123.756146,125.058932,17.686796,89.601788,17.686796,89.601788,91.330735,91.330735,192.970216
16.166667,16.901706,126.178917,127.305879,16.225445,91.516681,16.225445,91.516681,92.943897,92.943897,196.356785
16.333333,16.015522,128.768637,129.760775,15.077091,93.632510,15.077091,93.632510,94.838629,94.838629,199.846516
16.500000,15.346706,131.471391,132.364074,14.242350,95.869240,14.242350,95.869240,96.921390,96.921390,203.437629
16.666667,14.809654,134.259206,135.073537,13.592149,98.185597,13.592149,98.185597,99.121934,99.121934,207.128598
16.833333,14.389143,137.133955,137.886798,13.103188,100.584899,13.103188,100.584899,101.434784,101.434784,210.918210
17.000000,14.155456,140.106366,140.819639,12.880584,103.083570,12.880584,103.083570,103.885186,103.885186,214.805600
17.166667,14.098120,143.183934,143.876322,12.908446,105.692997,12.908446,105.692997,106.478344,106.478344,218.790266
17.333333,14.349180,146.337290,147.039116,13.384756,108.369078,13.384756,108.369078,109.192531,109.192531,222.872086
17.500000,15.081868,149.373029,150.132490,14.569345,110.821471,14.569345,110.821471,111.775061,111.775061,227.051312
17.666667,16.234524,151.743756,152.609722,16.369741,112.228660,16.369741,112.228660,113.416227,113.416227,231.328568
17.833333,16.884468,153.147504,154.075447,17.401954,112.137105,17.401954,112.137105,113.479330,113.479330,235.704844
18.000000,16.402495,154.626450,155.493990,16.722172,112.109401,16.722172,112.109401,113.349675,113.349675,240.181370
18.166667,15.533606,156.878614,157.645782,15.448058,113.191559,15.448058,113.191559,114.240848,114.240848,244.760050
18.333333,14.824066,159.648872,160.335633,14.399021,114.999860,14.399021,114.999860,115.897798,115.897798,249.442802
18.500000,14.341608,162.652252,163.283302,13.676678,117.105611,13.676678,117.105611,117.901551,117.901551,254.231972
18.666667,14.032998,165.760988,166.353930,13.201164,119.315778,13.201164,119.315778,120.043849,120.043849,259.130223
18.833333,13.846919,168.928623,169.495182,12.895451,121.559148,12.895451,121.559148,122.241233,122.241233,264.140527
19.000000,13.749055,172.140270,172.688474,12.707972,123.811712,12.707972,123.811712,124.462173,124.462173,269.266164
19.166667,13.717848,175.392713,175.928347,12.606245,126.066831,12.606245,126.066831,126.695553,126.695553,274.510715
19.333333,13.739920,178.687123,179.214602,12.569887,128.324259,12.569887,128.324259,128.938425,128.938425,279.878159
19.500000,13.806162,182.025994,182.548823,12.585220,130.585702,12.585220,130.585702,131.190752,131.190752,285.372511
19.666667,13.911083,185.412571,185.933697,12.643578,132.853741,12.643578,132.853741,133.454025,133.454025,290.998350
19.833333,14.050935,188.850164,189.372156,12.738963,135.130939,12.738963,135.130939,135.730069,135.730069,296.760485
20.000000,14.223058,192.342088,192.867245,12.867081,137.419626,12.867081,137.419626,138.020706,138.020706,302.664196
20.166667,14.426283,195.891611,196.422099,13.025398,139.722159,13.025398,139.722159,140.327983,140.327983,308.714638
20.333333,14.659522,199.501998,200.039868,13.211805,142.040482,13.211805,142.040482,142.653602,142.653602,314.917753
20.500000,14.922362,203.176494,203.723746,13.425002,144.376418,13.425002,144.376418,144.999244,144.999244,321.279687
20.666667,15.214781,206.918351,207.476971,13.664183,146.731631,13.664183,146.731631,147.366486,147.366486,327.806949
20.833333,15.537077,210.730849,211.302843,13.928930,149.107641,13.928930,149.107641,149.756815,149.756815,334.506434
21.000000,15.889826,214.617314,215.204736,14.219138,151.505848,14.219138,151.505848,152.171633,152.171633,341.385434
21.166667,16.273851,218.581132,219.186107,14.534964,153.927539,14.534964,153.927539,154.612265,154.612265,348.451660
21.333333,16.690012,222.625677,223.250417,14.876630,156.373778,14.876630,156.373778,157.079828,157.079828,355.713256
21.500000,17.139954,226.754645,227.401510,15.245034,158.845889,15.245034,158.845889,159.575774,159.575774,363.178858
21.666667,17.624985,230.971591,231.643079,15.640796,161.344756,15.640796,161.344756,162.101094,162.101094,370.857563
21.833333,18.146808,235.280247,235.979027,16.064861,163.871279,16.064861,163.871279,164.656843,164.656843,378.758995
22.000000,18.707341,239.684447,240.413392,16.518339,166.426259,16.518339,166.426259,167.243999,167.243999,386.893324
22.166667,19.308727,244.188137,244.950349,17.002499,169.010388,17.002499,169.010388,169.863464,169.863464,395.271300
22.333333,19.953334,248.795373,249.594217,17.518765,171.624241,17.518765,171.624241,172.516049,172.516049,403.904286
22.500000,20.643772,253.510324,254.349463,18.068716,174.268259,18.068716,174.268259,175.202468,175.202468,412.804293
22.666667,21.382895,258.337272,259.220706,18.654081,176.942736,18.654081,176.942736,177.923317,177.923317,421.984020
22.833333,22.173817,263.280612,264.212716,19.276734,179.647795,19.276734,179.647795,180.679060,180.679060,431.456897
23.000000,23.019917,268.344844,269.330414,19.938696,182.383364,19.938696,182.383364,183.470006,183.470006,441.237124
23.166667,23.924852,273.534568,274.578875,20.642119,185.149149,20.642119,185.149149,186.296281,186.296281,451.339726
23.333333,24.892563,278.854480,279.963320,21.389283,187.944600,21.389283,187.944600,189.157803,189.157803,461.780597
23.500000,25.927283,284.309357,285.489115,22.182578,190.768878,22.182578,190.768878,192.054241,192.054241,472.576558
23.666667,27.033536,289.904051,291.161761,23.024485,193.620808,23.024485,193.620808,194.984984,194.984984,483.745412
23.833333,28.216140,295.643472,296.986890,23.917543,196.498840,23.917543,196.498840,197.949092,197.949092,495.306012
24.000000,29.480197,301.532574,302.970255,24.864319,199.401000,24.864319,199.401000,200.945250,200.945250,507.278326
24.166667,30.831079,307.576346,309.117719,25.867356,202.324839,25.867356,202.324839,203.971715,203.971715,519.683512
24.333333,32.274404,313.779796,315.435251,26.929102,205.267382,26.929102,205.267382,207.026266,207.026266,532.544001
24.500000,33.816006,320.147941,321.928915,28.051847,208.225078,28.051847,208.225078,210.106138,210.106138,545.883592
24.666667,35.461878,326.685812,328.604876,29.237610,211.193759,29.237610,211.193759,213.207977,213.207977,559.727550
24.833333,37.218121,333.398452,335.469397,30.488026,214.168598,30.488026,214.168598,216.327779,216.327779,574.102731
25.000000,39.090862,340.290949,342.528868,31.804208,217.144091,31.804208,217.144091,219.460848,219.460848,589.037711
25.166667,41.086155,347.368474,349.789835,33.186574,220.114056,33.186574,220.114056,222.601766,222.601766,604.562953
25.333333,43.209875,354.636355,357.259063,34.634660,223.071662,34.634660,223.071662,225.744382,225.744382,620.710986
