Freq.Sweep,POI 230kV FirstEnergy,POI 230kV FirstEnergy,POI 230kV FirstEnergy,POI 230kV FirstEnergy,POI 230kV FirstEnergy,POI 230kV FirstEnergy,POI 230kV FirstEnergy,POI 230kV FirstEnergy,POI 230kV FirstEnergy,POI 230kV FirstEnergy
"Rated Frequency","R, Re(Z) in Ohm","X, Im(Z) in Ohm","Z, Magnitude in Ohm","R1 in Ohm","X1 in Ohm","R2 in Ohm","X2 in Ohm","Z1 in Ohm","Z2 in Ohm","Z0 in Ohm"
1.500000,10.231705,64.784216,65.587213,10.013111,71.703008,10.013111,71.703008,72.398783,72.398783,52.050439
1.666667,22.133155,94.930040,97.476094,26.607820,113.521979,26.607820,113.521979,116.598524,116.598524,59.229921
1.833333,135.114662,171.823443,218.584692,194.216150,225.010632,194.216150,225.010632,297.236770,297.236770,67.596234
2.000000,73.471896,-85.175762,112.485688,98.739986,-164.894873,98.739986,-164.894873,192.197565,192.197565,77.722156
2.166667,23.475878,-15.823474,28.310760,18.610249,-65.817090,18.610249,-65.817090,68.397593,68.397593,90.484307
2.333333,22.742695,9.819484,24.772009,7.946050,-31.803451,7.946050,-31.803451,32.781080,32.781080,106.775582
2.500000,31.940417,19.961768,37.665135,4.753205,-14.642292,4.753205,-14.642292,15.394469,15.394469,124.102513
2.666667,40.338935,12.310780,42.175645,3.423221,-3.799775,3.423221,-3.799775,5.114365,5.114365,122.541504
2.833333,29.663866,1.929817,29.726573,2.767627,4.023998,2.767627,4.023998,4.883884,4.883884,83.476706
3.000000,16.416052,5.786708,17.406112,2.414246,10.177285,2.414246,10.177285,10.459718,10.459718,44.510867
3.166667,9.590033,13.653356,16.684810,2.216781,15.311372,2.216781,15.311372,15.471012,15.471012,26.437479
3.333333,6.348960,20.941839,21.883097,2.108429,19.779125,2.108429,19.779125,19.891186,19.891186,27.595856
3.500000,4.708226,27.202465,27.606911,2.055269,23.788426,2.055269,23.788426,23.877046,23.877046,35.480629
3.666667,3.820909,32.655964,32.878737,2.038657,27.469834,2.038657,27.469834,27.545379,27.545379,43.665577
3.833333,3.320687,37.532171,37.678784,2.047716,30.909621,2.047716,30.909621,30.977375,30.977375,51.123439
4.000000,3.036108,41.996798,42.106401,2.075809,34.167202,2.075809,34.167202,34.230201,34.230201,57.877077
4.166667,2.880313,46.163365,46.253135,2.118745,37.284941,2.118745,37.284941,37.345092,37.345092,64.080059
4.333333,2.806208,50.110211,50.188724,2.173825,40.293950,2.173825,40.293950,40.352546,40.352546,69.869683
4.500000,2.786790,53.892620,53.964625,2.239291,43.217677,2.239291,43.217677,43.275652,43.275652,75.350681
4.666667,2.805866,57.550629,57.618988,2.314013,46.074200,2.314013,46.074200,46.132272,46.132272,80.600602
4.833333,2.853378,61.113973,61.180548,2.397291,48.877747,2.397291,48.877747,48.936502,48.936502,85.677052
5.000000,2.922918,64.605277,64.671364,2.488729,51.639732,2.488729,51.639732,51.699668,51.699668,90.623406
